ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
     0 -2.00e+04  0.00e+00 -6.67e+01  2.00e+02 -3.33e-01  6.80e-01  0.00e+00
     0 -4.40e+04  0.00e+00 -1.47e+02  4.40e+02 -3.33e-01  6.80e-01  0.00e+00
     0 -7.28e+04  0.00e+00 -2.43e+02  7.28e+02 -3.33e-01  6.80e-01  0.00e+00
    20 -1.00e+05  3.34e-04 -3.33e+02  1.00e+03 -3.33e-01  6.79e-01  4.92e-04
    28 -1.00e+05  2.20e-03 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  3.24e-03
    35 -1.00e+05  4.44e-03 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  6.54e-03
    35 -1.00e+05  7.13e-03 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.05e-02
    35 -1.00e+05  1.04e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.52e-02
    35 -1.00e+05  1.42e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  2.09e-02
    77 -1.00e+05  1.89e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  2.78e-02
    35 -1.00e+05  2.45e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  3.60e-02
    35 -1.00e+05  3.11e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  4.58e-02
    77 -1.00e+05  3.92e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  5.76e-02
    77 -1.00e+05  4.88e-02 -3.33e+02  1.00e+03 -3.33e-01  6.79e-01  7.18e-02
    77 -1.00e+05  6.04e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  8.88e-02
    77 -1.00e+05  7.42e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.09e-01
     8 -1.00e+05  9.09e-02 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.34e-01
     8 -1.00e+05  1.11e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.63e-01
     8 -1.00e+05  1.35e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.98e-01
     8 -1.00e+05  1.64e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  2.41e-01
    46 -1.00e+05  1.98e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  2.92e-01
    46 -1.00e+05  2.40e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  3.53e-01
    78 -1.00e+05  2.89e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  4.26e-01
    81 -1.00e+05  3.49e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  5.13e-01
     8 -1.00e+05  4.21e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  6.19e-01
     8 -1.00e+05  5.06e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  7.45e-01
     8 -1.00e+05  6.10e-01 -3.33e+02  1.00e+03 -3.33e-01  6.79e-01  8.97e-01
     8 -1.00e+05  7.33e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.08e+00
     8 -1.00e+05  8.82e-01 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.30e+00
     8 -1.00e+05  1.06e+00 -3.33e+02  1.00e+03 -3.33e-01  6.80e-01  1.56e+00
