model name:                         Cicle
No. of elements:                      138
No. of Degrees of freedom:            351

=========================================================================================================================

Sum of loads x-direction:        3.64e-12
Sum of loads y-direction:        6.79e-26
Sum of loads z-direction:        3.88e-26

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  9.76e+02  6.55e+00  9.31e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  2.51e-02  7.87e+01  0.00e+00  4.92e+01  1.44e+02  4.92e-04  4.12e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  5.54e-02  1.73e+02  0.00e+00  1.09e+02  3.21e+02  1.09e-03  4.12e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  8.56e-02  2.67e+02  0.00e+00  1.70e+02  5.00e+02  1.70e-03  4.11e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  1.16e-01  3.60e+02  0.00e+00  2.32e+02  6.81e+02  2.32e-03  4.11e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  1.47e-01  4.51e+02  0.00e+00  2.95e+02  8.66e+02  2.95e-03  4.10e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  1.78e-01  5.41e+02  0.00e+00  3.59e+02  1.06e+03  3.59e-03  4.10e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  2.10e-01  6.28e+02  0.00e+00  4.24e+02  1.25e+03  4.24e-03  4.10e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  2.44e-01  7.13e+02  0.00e+00  4.92e+02  1.45e+03  4.92e-03  4.09e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  2.79e-01  7.95e+02  0.00e+00  5.62e+02  1.65e+03  5.62e-03  4.09e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  3.15e-01  8.72e+02  0.00e+00  6.35e+02  1.87e+03  6.35e-03  4.08e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  3.54e-01  9.46e+02  0.00e+00  7.11e+02  2.10e+03  7.11e-03  4.08e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  3.96e-01  1.01e+03  0.00e+00  7.93e+02  2.34e+03  7.93e-03  4.07e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  4.42e-01  1.07e+03  0.00e+00  8.80e+02  2.60e+03  8.80e-03  4.07e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  4.83e-01  1.12e+03  0.00e+00  9.53e+02  2.82e+03  9.53e-03  4.06e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  5.24e-01  1.15e+03  0.00e+00  1.02e+03  3.02e+03  1.02e-02  4.06e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  5.68e-01  1.18e+03  0.00e+00  1.10e+03  3.24e+03  1.10e-02  4.05e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  6.15e-01  1.21e+03  0.00e+00  1.18e+03  3.48e+03  1.18e-02  4.05e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  6.66e-01  1.22e+03  0.00e+00  1.26e+03  3.74e+03  1.26e-02  4.04e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  7.23e-01  1.24e+03  0.00e+00  1.36e+03  4.03e+03  1.36e-02  4.04e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  7.78e-01  1.24e+03  0.00e+00  1.44e+03  4.27e+03  1.44e-02  4.03e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  8.33e-01  1.24e+03  0.00e+00  1.52e+03  4.49e+03  1.52e-02  4.03e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  8.92e-01  1.23e+03  0.00e+00  1.60e+03  4.74e+03  1.60e-02  4.02e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  9.54e-01  1.23e+03  0.00e+00  1.69e+03  5.01e+03  1.69e-02  4.02e-01  0.00e+00
          0  9.76e+02  6.55e+00  9.31e+00  1.00e+00  1.22e+03  0.00e+00  1.79e+03  5.31e+03  1.79e-02  4.01e-01  0.00e+00

=========================================================================================================================

