model name:                                          Elastica
No. of elements:                                           78
No. of Degrees of freedom:                                217
analysis type:          elastic-plastic, geometric non-linear
elastic buckling factors:                                [0.]

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -1.75e+02

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  1.86e+02  2.07e+00  9.33e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  2.00e-02  6.65e+00  0.00e+00  5.14e+00  1.54e+01  5.14e-06  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  4.20e-02  1.40e+01  0.00e+00  1.08e+01  3.24e+01  1.08e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  6.62e-02  2.20e+01  0.00e+00  1.71e+01  5.11e+01  1.71e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  9.29e-02  3.09e+01  0.00e+00  2.39e+01  7.18e+01  2.39e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.22e-01  4.06e+01  0.00e+00  3.15e+01  9.45e+01  3.15e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.55e-01  5.13e+01  0.00e+00  3.99e+01  1.20e+02  3.99e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.90e-01  6.31e+01  0.00e+00  4.92e+01  1.47e+02  4.92e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  2.29e-01  7.60e+01  0.00e+00  5.94e+01  1.78e+02  5.94e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  2.73e-01  9.03e+01  0.00e+00  7.06e+01  2.12e+02  7.06e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  3.21e-01  1.06e+02  0.00e+00  8.31e+01  2.49e+02  8.31e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  3.74e-01  1.23e+02  0.00e+00  9.68e+01  2.90e+02  9.68e-05  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  4.33e-01  1.42e+02  0.00e+00  1.12e+02  3.36e+02  1.12e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  4.99e-01  1.63e+02  0.00e+00  1.29e+02  3.86e+02  1.29e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  5.73e-01  1.86e+02  0.00e+00  1.47e+02  4.42e+02  1.47e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  6.55e-01  2.11e+02  0.00e+00  1.68e+02  5.04e+02  1.68e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  7.48e-01  2.38e+02  0.00e+00  1.91e+02  5.72e+02  1.91e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  8.54e-01  2.69e+02  0.00e+00  2.16e+02  6.49e+02  2.16e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  9.74e-01  3.02e+02  0.00e+00  2.45e+02  7.33e+02  2.45e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.11e+00  3.38e+02  0.00e+00  2.76e+02  8.28e+02  2.76e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.27e+00  3.78e+02  0.00e+00  3.12e+02  9.33e+02  3.12e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.46e+00  4.21e+02  0.00e+00  3.51e+02  1.05e+03  3.51e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.69e+00  4.69e+02  0.00e+00  3.95e+02  1.18e+03  3.95e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.96e+00  5.20e+02  0.00e+00  4.45e+02  1.33e+03  4.45e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  2.31e+00  5.76e+02  0.00e+00  5.01e+02  1.50e+03  5.01e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  2.74e+00  6.37e+02  0.00e+00  5.64e+02  1.69e+03  5.64e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  3.31e+00  7.03e+02  0.00e+00  6.37e+02  1.91e+03  6.37e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  4.10e+00  7.73e+02  0.00e+00  7.20e+02  2.16e+03  7.20e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  5.22e+00  8.49e+02  0.00e+00  8.16e+02  2.46e+03  8.16e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  6.95e+00  9.28e+02  0.00e+00  9.30e+02  2.81e+03  9.30e-04  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  9.75e+00  1.00e+03  0.00e+00  1.06e+03  3.23e+03  1.06e-03  4.12e-01  0.00e+00
          0  1.86e+02  2.07e+00  9.33e+00  1.00e+01  1.01e+03  0.00e+00  1.20e+03  3.71e+03  1.20e-03  4.11e-01  0.00e+00

=========================================================================================================================

