ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
     0  3.33e-02  0.00e+00 -6.29e-04  1.52e-04 -4.13e+00  8.11e+14  0.00e+00
     0  7.33e-02  0.00e+00 -1.38e-03  3.35e-04 -4.13e+00  8.11e+14  0.00e+00
     0  1.21e-01  0.00e+00 -2.29e-03  5.54e-04 -4.13e+00  8.11e+14  0.00e+00
     0  1.79e-01  0.00e+00 -3.38e-03  8.18e-04 -4.13e+00  8.11e+14  0.00e+00
  2570  2.48e-01  4.87e-04  1.82e-02  1.00e-02  1.82e+00  1.07e+11  4.55e-15
  2569  3.30e-01  1.68e-03  2.39e-02  1.00e-02  2.39e+00  4.61e+10  3.65e-14
  2569  4.07e-01  4.05e-03  2.92e-02  1.00e-02  2.92e+00  2.08e+10  1.95e-13
  2569  4.49e-01  6.04e-03  3.25e-02  1.00e-02  3.25e+00  1.26e+10  4.78e-13
  2570  4.68e-01  7.31e-03  3.43e-02  1.00e-02  3.43e+00  9.64e+09  7.59e-13
  2570  4.76e-01  7.91e-03  3.50e-02  1.00e-02  3.50e+00  8.61e+09  9.19e-13
  2570  4.80e-01  8.34e-03  3.50e-02  1.00e-02  3.50e+00  8.67e+09  9.62e-13
  2570  4.82e-01  8.72e-03  3.47e-02  1.00e-02  3.47e+00  8.98e+09  9.71e-13
  2570  4.84e-01  9.16e-03  3.44e-02  1.00e-02  3.44e+00  9.48e+09  9.67e-13
  2570  4.86e-01  9.60e-03  3.41e-02  1.00e-02  3.41e+00  9.86e+09  9.73e-13
  2570  4.87e-01  1.01e-02  3.40e-02  1.00e-02  3.40e+00  1.01e+10  1.00e-12
  2570  4.89e-01  1.08e-02  3.39e-02  1.00e-02  3.39e+00  1.03e+10  1.05e-12
  2569  4.90e-01  1.14e-02  3.40e-02  1.00e-02  3.40e+00  1.01e+10  1.13e-12
  2569  4.91e-01  1.23e-02  3.42e-02  1.00e-02  3.42e+00  9.81e+09  1.26e-12
  2569  4.92e-01  1.35e-02  3.46e-02  1.00e-02  3.46e+00  9.19e+09  1.47e-12
  2569  4.92e-01  1.46e-02  3.51e-02  1.00e-02  3.51e+00  8.53e+09  1.71e-12
  2569  4.93e-01  1.58e-02  3.56e-02  1.00e-02  3.56e+00  7.88e+09  2.00e-12
  2569  4.94e-01  1.72e-02  3.63e-02  1.00e-02  3.63e+00  7.13e+09  2.41e-12
  2569  4.94e-01  1.89e-02  3.71e-02  1.00e-02  3.71e+00  6.29e+09  3.01e-12
  2569  4.95e-01  2.07e-02  3.80e-02  1.00e-02  3.80e+00  5.55e+09  3.72e-12
  2569  4.96e-01  2.24e-02  3.88e-02  1.00e-02  3.88e+00  4.92e+09  4.56e-12
  2569  4.96e-01  2.42e-02  3.95e-02  1.00e-02  3.95e+00  4.38e+09  5.51e-12
  2569  4.96e-01  2.59e-02  4.03e-02  1.00e-02  4.03e+00  3.93e+09  6.59e-12
  2569  4.97e-01  2.80e-02  4.11e-02  1.00e-02  4.11e+00  3.48e+09  8.03e-12
  2569  4.97e-01  3.01e-02  4.18e-02  1.00e-02  4.18e+00  3.10e+09  9.69e-12
  2568  4.97e-01  5.36e-02  4.04e-02  1.00e-02  4.04e+00  3.83e+09  1.40e-11
