  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  4.04e+04  1.67e-02  0.00e+00  5.26e+00  1.74e+01  3.02e-01  2.62e-01  0.00e+00
       0  8.90e+04  3.67e-02  0.00e+00  1.16e+01  3.83e+01  3.02e-01  2.62e-01  0.00e+00
       0  1.47e+05  6.07e-02  0.00e+00  1.91e+01  6.33e+01  3.02e-01  2.62e-01  0.00e+00
       0  2.17e+05  8.95e-02  0.00e+00  2.82e+01  9.33e+01  3.02e-01  2.62e-01  0.00e+00
      81  3.00e+05  1.24e-01  1.42e-04  1.02e+02  2.40e+02  4.27e-01  2.17e-01  6.53e-04
      81  3.75e+05  1.61e-01  8.00e-04  1.18e+02  2.40e+02  4.92e-01  1.97e-01  4.06e-03
      81  4.31e+05  1.92e-01  1.34e-03  1.24e+02  2.40e+02  5.18e-01  1.90e-01  7.09e-03
      81  4.86e+05  2.25e-01  1.87e-03  1.24e+02  2.40e+02  5.19e-01  1.89e-01  9.88e-03
    2214  5.27e+05  2.53e-01  2.23e-03  1.50e+02  2.40e+02  6.24e-01  1.62e-01  1.38e-02
    2214  5.58e+05  2.78e-01  2.70e-03  1.55e+02  2.40e+02  6.47e-01  1.56e-01  1.73e-02
    2214  5.86e+05  3.02e-01  3.22e-03  1.60e+02  2.40e+02  6.68e-01  1.51e-01  2.13e-02
    2214  6.06e+05  3.23e-01  3.67e-03  1.64e+02  2.40e+02  6.84e-01  1.48e-01  2.48e-02
    2214  6.22e+05  3.41e-01  4.07e-03  1.68e+02  2.40e+02  6.98e-01  1.45e-01  2.82e-02
     800  6.34e+05  3.56e-01  3.05e-03  2.34e+02  2.40e+02  9.76e-01  9.53e-02  3.20e-02
     800  6.43e+05  3.69e-01  3.27e-03  2.41e+02  2.40e+02  1.00e+00  9.16e-02  3.57e-02
     800  6.50e+05  3.80e-01  3.45e-03  2.46e+02  2.40e+02  1.02e+00  8.87e-02  3.89e-02
     800  6.55e+05  3.91e-01  3.64e-03  2.51e+02  2.40e+02  1.04e+00  8.60e-02  4.24e-02
     800  6.60e+05  4.00e-01  3.80e-03  2.55e+02  2.40e+02  1.06e+00  8.38e-02  4.54e-02
     800  6.64e+05  4.09e-01  3.97e-03  2.59e+02  2.40e+02  1.08e+00  8.16e-02  4.86e-02
     800  6.68e+05  4.18e-01  4.14e-03  2.63e+02  2.40e+02  1.10e+00  7.96e-02  5.20e-02
     800  6.71e+05  4.26e-01  4.29e-03  2.67e+02  2.40e+02  1.11e+00  7.78e-02  5.51e-02
     800  6.74e+05  4.34e-01  4.44e-03  2.70e+02  2.40e+02  1.13e+00  7.61e-02  5.83e-02
     800  6.76e+05  4.42e-01  4.59e-03  2.74e+02  2.40e+02  1.14e+00  7.44e-02  6.16e-02
     800  6.77e+05  4.49e-01  4.71e-03  2.77e+02  2.40e+02  1.15e+00  7.31e-02  6.45e-02
     800  6.79e+05  4.55e-01  4.82e-03  2.79e+02  2.40e+02  1.16e+00  7.20e-02  6.70e-02
     800  6.80e+05  4.61e-01  4.93e-03  2.82e+02  2.40e+02  1.17e+00  7.09e-02  6.95e-02
     800  6.81e+05  4.66e-01  5.03e-03  2.84e+02  2.40e+02  1.18e+00  6.98e-02  7.21e-02
     800  6.82e+05  4.72e-01  5.14e-03  2.86e+02  2.40e+02  1.19e+00  6.88e-02  7.48e-02
     800  6.83e+05  4.78e-01  5.25e-03  2.89e+02  2.40e+02  1.20e+00  6.78e-02  7.75e-02
     800  6.84e+05  4.85e-01  5.38e-03  2.92e+02  2.40e+02  1.22e+00  6.66e-02  8.08e-02
     800  6.85e+05  4.92e-01  5.51e-03  2.95e+02  2.40e+02  1.23e+00  6.54e-02  8.42e-02
     800  6.86e+05  4.99e-01  5.64e-03  2.97e+02  2.40e+02  1.24e+00  6.43e-02  8.77e-02
     800  6.86e+05  5.06e-01  5.77e-03  3.00e+02  2.40e+02  1.25e+00  6.32e-02  9.13e-02
     800  6.87e+05  5.14e-01  5.92e-03  3.03e+02  2.40e+02  1.26e+00  6.20e-02  9.56e-02
     800  6.88e+05  5.22e-01  6.08e-03  3.06e+02  2.40e+02  1.28e+00  6.07e-02  1.00e-01
     800  6.89e+05  5.31e-01  6.24e-03  3.09e+02  2.40e+02  1.29e+00  5.96e-02  1.05e-01
     800  6.90e+05  5.39e-01  6.40e-03  3.13e+02  2.40e+02  1.30e+00  5.84e-02  1.09e-01
     800  6.91e+05  5.47e-01  6.56e-03  3.16e+02  2.40e+02  1.31e+00  5.73e-02  1.14e-01
     800  6.91e+05  5.56e-01  6.71e-03  3.19e+02  2.40e+02  1.33e+00  5.63e-02  1.19e-01
     800  6.92e+05  5.64e-01  6.87e-03  3.21e+02  2.40e+02  1.34e+00  5.53e-02  1.24e-01
     800  6.93e+05  5.73e-01  7.03e-03  3.24e+02  2.40e+02  1.35e+00  5.43e-02  1.29e-01
     800  6.93e+05  5.83e-01  7.22e-03  3.27e+02  2.40e+02  1.36e+00  5.32e-02  1.36e-01
     800  6.94e+05  5.93e-01  7.41e-03  3.31e+02  2.40e+02  1.38e+00  5.22e-02  1.42e-01
     800  6.95e+05  6.03e-01  7.59e-03  3.34e+02  2.40e+02  1.39e+00  5.11e-02  1.48e-01
     800  6.95e+05  6.13e-01  7.78e-03  3.37e+02  2.40e+02  1.40e+00  5.02e-02  1.55e-01
     800  6.96e+05  6.23e-01  7.97e-03  3.40e+02  2.40e+02  1.42e+00  4.92e-02  1.62e-01
     800  6.96e+05  6.36e-01  8.20e-03  3.43e+02  2.40e+02  1.43e+00  4.82e-02  1.70e-01
     800  6.97e+05  6.48e-01  8.42e-03  3.47e+02  2.40e+02  1.45e+00  4.72e-02  1.79e-01
     800  6.97e+05  6.60e-01  8.65e-03  3.50e+02  2.40e+02  1.46e+00  4.62e-02  1.87e-01
     800  6.98e+05  6.72e-01  8.87e-03  3.53e+02  2.40e+02  1.47e+00  4.53e-02  1.96e-01
     800  6.98e+05  6.84e-01  9.10e-03  3.56e+02  2.40e+02  1.48e+00  4.45e-02  2.05e-01
     800  6.98e+05  6.99e-01  9.37e-03  3.60e+02  2.40e+02  1.50e+00  4.35e-02  2.15e-01
