  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.67e-02  4.65e-03  0.00e+00  2.31e-01  6.39e-01  3.61e-01  2.40e-01  0.00e+00
       0  3.67e-02  1.02e-02  0.00e+00  5.07e-01  1.41e+00  3.61e-01  2.40e-01  0.00e+00
       0  6.07e-02  1.69e-02  0.00e+00  8.39e-01  2.33e+00  3.61e-01  2.40e-01  0.00e+00
       0  8.95e-02  2.49e-02  0.00e+00  1.24e+00  3.43e+00  3.61e-01  2.40e-01  0.00e+00
       0  1.24e-01  3.46e-02  0.00e+00  1.72e+00  4.75e+00  3.61e-01  2.40e-01  0.00e+00
       0  1.65e-01  4.61e-02  0.00e+00  2.29e+00  6.34e+00  3.61e-01  2.40e-01  0.00e+00
       0  2.15e-01  6.00e-02  0.00e+00  2.98e+00  8.25e+00  3.61e-01  2.40e-01  0.00e+00
       0  2.75e-01  7.66e-02  0.00e+00  3.80e+00  1.05e+01  3.61e-01  2.40e-01  0.00e+00
       0  3.47e-01  9.66e-02  0.00e+00  4.79e+00  1.33e+01  3.61e-01  2.40e-01  0.00e+00
       0  4.33e-01  1.21e-01  0.00e+00  5.98e+00  1.66e+01  3.61e-01  2.40e-01  0.00e+00
   12032  5.34e-01  1.50e-01  1.52e-04  5.87e+01  2.40e+02  2.44e-01  2.86e-01  5.32e-04
    1362  6.35e-01  1.87e-01  7.31e-04  8.00e+01  2.40e+02  3.33e-01  2.50e-01  2.92e-03
    1356  6.71e-01  2.08e-01  1.20e-03  7.94e+01  2.40e+02  3.31e-01  2.51e-01  4.78e-03
    1356  6.94e-01  2.25e-01  1.64e-03  7.91e+01  2.40e+02  3.29e-01  2.51e-01  6.52e-03
    4597  7.08e-01  2.41e-01  1.95e-03  8.67e+01  2.40e+02  3.61e-01  2.40e-01  8.13e-03
    4594  7.17e-01  2.54e-01  2.32e-03  8.82e+01  2.40e+02  3.68e-01  2.37e-01  9.75e-03
    4594  7.21e-01  2.60e-01  2.53e-03  8.89e+01  2.40e+02  3.71e-01  2.36e-01  1.07e-02
    4594  7.23e-01  2.66e-01  2.73e-03  8.97e+01  2.40e+02  3.74e-01  2.35e-01  1.16e-02
    4594  7.25e-01  2.70e-01  2.90e-03  9.04e+01  2.40e+02  3.76e-01  2.34e-01  1.24e-02
    4594  7.26e-01  2.74e-01  3.05e-03  9.09e+01  2.40e+02  3.79e-01  2.33e-01  1.31e-02
    4594  7.27e-01  2.78e-01  3.20e-03  9.15e+01  2.40e+02  3.81e-01  2.33e-01  1.37e-02
    4594  7.28e-01  2.82e-01  3.37e-03  9.22e+01  2.40e+02  3.84e-01  2.32e-01  1.46e-02
    4594  7.29e-01  2.87e-01  3.58e-03  9.29e+01  2.40e+02  3.87e-01  2.31e-01  1.55e-02
    4594  7.31e-01  2.93e-01  3.83e-03  9.36e+01  2.40e+02  3.90e-01  2.30e-01  1.67e-02
    4594  7.32e-01  3.00e-01  4.07e-03  9.43e+01  2.40e+02  3.93e-01  2.29e-01  1.78e-02
    4594  7.34e-01  3.07e-01  4.36e-03  9.50e+01  2.40e+02  3.96e-01  2.28e-01  1.92e-02
    4594  7.35e-01  3.16e-01  4.70e-03  9.56e+01  2.40e+02  3.98e-01  2.27e-01  2.07e-02
   22990  7.37e-01  3.25e-01  5.22e-03  9.17e+01  2.40e+02  3.82e-01  2.32e-01  2.24e-02
   22990  7.39e-01  3.35e-01  5.65e-03  9.32e+01  2.40e+02  3.88e-01  2.30e-01  2.46e-02
   22990  7.41e-01  3.46e-01  6.08e-03  9.46e+01  2.40e+02  3.94e-01  2.28e-01  2.67e-02
