  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  3.33e-02  5.77e-02  0.00e+00 -6.72e+00  3.58e+01 -1.88e-01  5.46e-01  0.00e+00
       0  7.33e-02  1.27e-01  0.00e+00 -1.48e+01  7.87e+01 -1.88e-01  5.46e-01  0.00e+00
     141  1.20e-01  2.10e-01  1.14e-03  7.96e+01  2.40e+02  3.31e-01  2.51e-01  4.55e-03
     141  1.63e-01  2.93e-01  3.23e-03  6.65e+01  2.40e+02  2.77e-01  2.72e-01  1.19e-02
     141  1.82e-01  3.35e-01  4.58e-03  6.06e+01  2.40e+02  2.52e-01  2.82e-01  1.62e-02
     141  1.97e-01  3.76e-01  6.49e-03  6.01e+01  2.40e+02  2.50e-01  2.83e-01  2.29e-02
     141  2.06e-01  4.11e-01  8.29e-03  5.86e+01  2.40e+02  2.44e-01  2.86e-01  2.90e-02
     141  2.13e-01  4.40e-01  9.87e-03  5.74e+01  2.40e+02  2.39e-01  2.88e-01  3.43e-02
     141  2.19e-01  4.70e-01  1.15e-02  5.59e+01  2.40e+02  2.33e-01  2.91e-01  3.95e-02
     141  2.25e-01  5.00e-01  1.31e-02  5.48e+01  2.40e+02  2.28e-01  2.93e-01  4.48e-02
     141  2.30e-01  5.30e-01  1.47e-02  5.39e+01  2.40e+02  2.24e-01  2.94e-01  5.01e-02
     141  2.34e-01  5.60e-01  1.64e-02  5.29e+01  2.40e+02  2.20e-01  2.96e-01  5.52e-02
     141  2.37e-01  5.91e-01  1.79e-02  5.23e+01  2.40e+02  2.18e-01  2.97e-01  6.03e-02
     141  2.40e-01  6.22e-01  1.94e-02  5.22e+01  2.40e+02  2.17e-01  2.97e-01  6.53e-02
     141  2.44e-01  6.59e-01  2.13e-02  5.24e+01  2.40e+02  2.18e-01  2.97e-01  7.16e-02
     141  2.47e-01  6.96e-01  2.32e-02  5.24e+01  2.40e+02  2.18e-01  2.97e-01  7.81e-02
     141  2.50e-01  7.35e-01  2.55e-02  5.15e+01  2.40e+02  2.15e-01  2.99e-01  8.52e-02
     141  2.52e-01  7.68e-01  2.74e-02  5.08e+01  2.40e+02  2.12e-01  3.00e-01  9.13e-02
     141  2.54e-01  8.08e-01  2.98e-02  4.99e+01  2.40e+02  2.08e-01  3.02e-01  9.88e-02
     141  2.56e-01  8.56e-01  3.27e-02  4.90e+01  2.40e+02  2.04e-01  3.03e-01  1.08e-01
     141  2.59e-01  9.04e-01  3.58e-02  4.81e+01  2.40e+02  2.01e-01  3.05e-01  1.17e-01
     141  2.61e-01  9.52e-01  3.89e-02  4.72e+01  2.40e+02  1.97e-01  3.07e-01  1.27e-01
     141  2.62e-01  1.00e+00  4.21e-02  4.62e+01  2.40e+02  1.92e-01  3.09e-01  1.36e-01
     141  2.64e-01  1.05e+00  4.55e-02  4.54e+01  2.40e+02  1.89e-01  3.10e-01  1.46e-01
     141  2.65e-01  1.10e+00  4.89e-02  4.47e+01  2.40e+02  1.86e-01  3.12e-01  1.57e-01
     141  2.66e-01  1.16e+00  5.23e-02  4.41e+01  2.40e+02  1.84e-01  3.13e-01  1.67e-01
     141  2.67e-01  1.21e+00  5.58e-02  4.36e+01  2.40e+02  1.82e-01  3.14e-01  1.78e-01
     141  2.69e-01  1.28e+00  6.01e-02  4.31e+01  2.40e+02  1.80e-01  3.15e-01  1.91e-01
     141  2.70e-01  1.34e+00  6.45e-02  4.27e+01  2.40e+02  1.78e-01  3.16e-01  2.04e-01
     141  2.71e-01  1.42e+00  6.97e-02  4.22e+01  2.40e+02  1.76e-01  3.17e-01  2.20e-01
