  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.00e-01  6.13e-02  0.00e+00  1.44e+01  5.58e+01  2.58e-01  2.80e-01  0.00e+00
       0  2.20e-01  1.35e-01  0.00e+00  3.17e+01  1.23e+02  2.58e-01  2.80e-01  0.00e+00
      81  3.50e-01  2.23e-01  9.37e-04  1.04e+02  2.40e+02  4.34e-01  2.15e-01  4.36e-03
      81  4.53e-01  3.10e-01  2.24e-03  1.14e+02  2.40e+02  4.74e-01  2.02e-01  1.11e-02
      81  4.91e-01  3.56e-01  2.87e-03  1.15e+02  2.40e+02  4.80e-01  2.00e-01  1.43e-02
      81  4.99e-01  3.69e-01  3.02e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.50e-02
      81  5.05e-01  3.81e-01  3.15e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.57e-02
      81  5.10e-01  3.93e-01  3.28e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.63e-02
      81  5.15e-01  4.06e-01  3.41e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.70e-02
      81  5.18e-01  4.19e-01  3.54e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.77e-02
      81  5.21e-01  4.31e-01  3.65e-03  1.15e+02  2.40e+02  4.80e-01  2.01e-01  1.82e-02
      81  5.24e-01  4.43e-01  3.77e-03  1.15e+02  2.40e+02  4.79e-01  2.01e-01  1.87e-02
      81  5.26e-01  4.56e-01  3.88e-03  1.15e+02  2.40e+02  4.78e-01  2.01e-01  1.93e-02
     800  5.27e-01  4.69e-01  2.71e-03  1.77e+02  2.40e+02  7.37e-01  1.37e-01  1.98e-02
     800  5.29e-01  4.83e-01  2.79e-03  1.78e+02  2.40e+02  7.41e-01  1.36e-01  2.06e-02
     800  5.30e-01  4.99e-01  2.88e-03  1.79e+02  2.40e+02  7.47e-01  1.34e-01  2.14e-02
     800  5.32e-01  5.17e-01  2.97e-03  1.81e+02  2.40e+02  7.54e-01  1.33e-01  2.23e-02
     800  5.33e-01  5.37e-01  3.07e-03  1.82e+02  2.40e+02  7.60e-01  1.32e-01  2.33e-02
     800  5.34e-01  5.57e-01  3.16e-03  1.84e+02  2.40e+02  7.67e-01  1.30e-01  2.43e-02
     800  5.35e-01  5.77e-01  3.26e-03  1.86e+02  2.40e+02  7.73e-01  1.29e-01  2.52e-02
     800  5.36e-01  5.98e-01  3.35e-03  1.87e+02  2.40e+02  7.80e-01  1.28e-01  2.62e-02
     800  5.37e-01  6.19e-01  3.44e-03  1.89e+02  2.40e+02  7.87e-01  1.27e-01  2.72e-02
     800  5.37e-01  6.40e-01  3.53e-03  1.91e+02  2.40e+02  7.94e-01  1.25e-01  2.82e-02
     800  5.38e-01  6.62e-01  3.61e-03  1.92e+02  2.40e+02  8.01e-01  1.24e-01  2.91e-02
    1981  5.39e-01  6.87e-01  1.09e-02  2.15e+01  2.40e+02  8.96e-02  3.60e-01  3.02e-02
    1981  5.39e-01  7.12e-01  1.17e-02  2.26e+01  2.40e+02  9.41e-02  3.58e-01  3.28e-02
    1981  5.40e-01  7.37e-01  1.26e-02  2.35e+01  2.40e+02  9.80e-02  3.56e-01  3.55e-02
    1981  5.40e-01  7.62e-01  1.35e-02  2.43e+01  2.40e+02  1.01e-01  3.54e-01  3.82e-02
    1981  5.41e-01  7.88e-01  1.44e-02  2.50e+01  2.40e+02  1.04e-01  3.52e-01  4.10e-02
    1981  5.41e-01  8.19e-01  1.56e-02  2.58e+01  2.40e+02  1.07e-01  3.51e-01  4.44e-02
    1981  5.42e-01  8.51e-01  1.67e-02  2.65e+01  2.40e+02  1.10e-01  3.49e-01  4.78e-02
    1981  5.42e-01  8.83e-01  1.79e-02  2.71e+01  2.40e+02  1.13e-01  3.48e-01  5.13e-02
    1981  5.43e-01  9.15e-01  1.90e-02  2.76e+01  2.40e+02  1.15e-01  3.47e-01  5.49e-02
    1981  5.43e-01  9.54e-01  2.05e-02  2.83e+01  2.40e+02  1.18e-01  3.45e-01  5.93e-02
    1981  5.43e-01  9.93e-01  2.19e-02  2.88e+01  2.40e+02  1.20e-01  3.44e-01  6.38e-02
    1981  5.44e-01  1.03e+00  2.34e-02  2.93e+01  2.40e+02  1.22e-01  3.43e-01  6.83e-02
    1981  5.44e-01  1.07e+00  2.49e-02  2.98e+01  2.40e+02  1.24e-01  3.42e-01  7.29e-02
    1981  5.44e-01  1.12e+00  2.68e-02  3.03e+01  2.40e+02  1.26e-01  3.41e-01  7.84e-02
    1981  5.45e-01  1.17e+00  2.86e-02  3.07e+01  2.40e+02  1.28e-01  3.40e-01  8.41e-02
    1981  5.45e-01  1.22e+00  3.05e-02  3.12e+01  2.40e+02  1.30e-01  3.39e-01  8.98e-02
