ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
     0  3.33e-02  0.00e+00 -3.80e-04  9.19e-04 -4.14e-01  3.07e+12  0.00e+00
     0  7.33e-02  0.00e+00 -8.37e-04  2.02e-03 -4.14e-01  3.07e+12  0.00e+00
     0  1.21e-01  0.00e+00 -1.38e-03  3.35e-03 -4.14e-01  3.07e+12  0.00e+00
     0  1.79e-01  0.00e+00 -2.04e-03  4.94e-03 -4.14e-01  3.07e+12  0.00e+00
  3489  2.48e-01  9.51e-03  1.67e-02  2.00e-02  8.37e-01  4.70e+11  2.03e-14
  3379  3.28e-01  3.27e-02  2.37e-02  2.00e-02  1.18e+00  2.79e+11  1.17e-13
  3379  4.07e-01  8.44e-02  3.09e-02  2.00e-02  1.54e+00  1.63e+11  5.18e-13
  3379  4.62e-01  1.40e-01  3.60e-02  2.00e-02  1.80e+00  1.11e+11  1.26e-12
  3379  5.08e-01  1.94e-01  3.98e-02  2.00e-02  1.99e+00  8.32e+10  2.34e-12
  3379  5.46e-01  2.48e-01  4.26e-02  2.00e-02  2.13e+00  6.73e+10  3.69e-12
  3379  5.80e-01  3.02e-01  4.49e-02  2.00e-02  2.25e+00  5.68e+10  5.31e-12
  3379  6.09e-01  3.54e-01  4.68e-02  2.00e-02  2.34e+00  4.94e+10  7.17e-12
  3379  6.36e-01  4.06e-01  4.84e-02  2.00e-02  2.42e+00  4.36e+10  9.30e-12
  3379  6.61e-01  4.55e-01  4.99e-02  2.00e-02  2.50e+00  3.89e+10  1.17e-11
  3379  6.84e-01  5.02e-01  5.14e-02  2.00e-02  2.57e+00  3.50e+10  1.43e-11
  3379  7.04e-01  5.46e-01  5.27e-02  2.00e-02  2.63e+00  3.18e+10  1.72e-11
  3379  7.22e-01  5.87e-01  5.38e-02  2.00e-02  2.69e+00  2.91e+10  2.02e-11
  3379  7.35e-01  6.18e-01  5.47e-02  2.00e-02  2.73e+00  2.73e+10  2.27e-11
  3379  7.47e-01  6.46e-01  5.54e-02  2.00e-02  2.77e+00  2.58e+10  2.50e-11
  3379  7.56e-01  6.70e-01  5.61e-02  2.00e-02  2.80e+00  2.46e+10  2.73e-11
  3379  7.64e-01  6.91e-01  5.66e-02  2.00e-02  2.83e+00  2.37e+10  2.92e-11
  3379  7.70e-01  7.10e-01  5.70e-02  2.00e-02  2.85e+00  2.29e+10  3.10e-11
  3379  7.75e-01  7.27e-01  5.74e-02  2.00e-02  2.87e+00  2.23e+10  3.27e-11
  3379  7.79e-01  7.42e-01  5.77e-02  2.00e-02  2.89e+00  2.17e+10  3.42e-11
  3379  7.83e-01  7.56e-01  5.80e-02  2.00e-02  2.90e+00  2.12e+10  3.56e-11
  3379  7.87e-01  7.72e-01  5.83e-02  2.00e-02  2.92e+00  2.07e+10  3.72e-11
  3379  7.90e-01  7.87e-01  5.86e-02  2.00e-02  2.93e+00  2.03e+10  3.87e-11
  3379  7.93e-01  8.01e-01  5.88e-02  2.00e-02  2.94e+00  2.00e+10  4.01e-11
  3379  7.95e-01  8.17e-01  5.91e-02  2.00e-02  2.95e+00  1.97e+10  4.15e-11
  3379  7.98e-01  8.32e-01  5.92e-02  2.00e-02  2.96e+00  1.94e+10  4.28e-11
