model name:                                      Plate_Girder
No. of elements:                                         2159
No. of Degrees of freedom:                               4454
analysis type:          elastic-plastic, geometric non-linear
elastic buckling factors:                   [1.0261  8.42008]

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -3.00e+05

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  4.16e+03  1.23e+02  1.74e+02  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  4.16e+03  1.23e+02  1.74e+02  1.00e-01  2.80e+00  0.00e+00  1.40e+00  4.16e+00  5.85e-03  4.09e-01  0.00e+00
          0  4.16e+03  1.23e+02  1.74e+02  2.06e-01  5.99e+00  0.00e+00  2.94e+00  8.55e+00  1.22e-02  4.05e-01  0.00e+00
          0  4.16e+03  1.23e+02  1.74e+02  3.16e-01  9.63e+00  0.00e+00  4.60e+00  1.31e+01  1.92e-02  4.00e-01  0.00e+00
          0  4.16e+03  1.23e+02  1.74e+02  4.27e-01  1.38e+01  0.00e+00  6.37e+00  1.76e+01  2.65e-02  3.96e-01  0.00e+00
          0  4.16e+03  1.23e+02  1.74e+02  5.35e-01  1.86e+01  0.00e+00  8.21e+00  2.19e+01  3.42e-02  3.92e-01  0.00e+00
       4685  1.31e+02  1.33e+01  5.09e+02  6.28e-01  2.39e+01  2.93e-04  6.17e+01  2.40e+02  2.57e-01  2.80e-01  1.04e-03
        927  1.59e+02  1.33e+01  5.06e+02  6.78e-01  2.97e+01  9.46e-04  8.13e+01  2.40e+02  3.39e-01  2.48e-01  3.77e-03
        927  1.59e+02  1.33e+01  5.06e+02  6.99e-01  3.54e+01  1.54e-03  8.46e+01  2.40e+02  3.52e-01  2.43e-01  6.21e-03
        927  1.59e+02  1.33e+01  5.06e+02  7.09e-01  4.10e+01  2.07e-03  8.59e+01  2.40e+02  3.58e-01  2.41e-01  8.42e-03
        927  1.59e+02  1.33e+01  5.06e+02  7.17e-01  4.74e+01  2.66e-03  8.70e+01  2.40e+02  3.62e-01  2.39e-01  1.09e-02
       4684  4.15e+01  1.33e+01  5.04e+02  7.21e-01  5.44e+01  2.26e-03  1.60e+02  2.40e+02  6.67e-01  1.52e-01  1.36e-02
       4684  4.15e+01  1.33e+01  5.04e+02  7.20e-01  6.22e+01  2.73e-03  1.67e+02  2.40e+02  6.95e-01  1.45e-01  1.69e-02
       4684  4.15e+01  1.33e+01  5.04e+02  7.17e-01  7.09e+01  3.26e-03  1.73e+02  2.40e+02  7.23e-01  1.39e-01  2.07e-02
       4684  4.15e+01  1.33e+01  5.04e+02  7.09e-01  7.95e+01  3.82e-03  1.79e+02  2.40e+02  7.47e-01  1.34e-01  2.48e-02
       4684  4.15e+01  1.33e+01  5.04e+02  7.00e-01  8.81e+01  4.42e-03  1.85e+02  2.40e+02  7.73e-01  1.29e-01  2.95e-02
       4684  4.15e+01  1.33e+01  5.04e+02  6.91e-01  9.67e+01  5.05e-03  1.91e+02  2.40e+02  7.96e-01  1.25e-01  3.45e-02
       4684  4.15e+01  1.33e+01  5.04e+02  6.82e-01  1.05e+02  5.69e-03  1.96e+02  2.40e+02  8.17e-01  1.21e-01  3.98e-02
       4684  4.15e+01  1.33e+01  5.04e+02  6.72e-01  1.14e+02  6.36e-03  2.01e+02  2.40e+02  8.37e-01  1.17e-01  4.55e-02
       4684  4.15e+01  1.33e+01  5.04e+02  6.63e-01  1.23e+02  7.04e-03  2.05e+02  2.40e+02  8.55e-01  1.14e-01  5.15e-02
       4684  4.15e+01  1.33e+01  5.04e+02  6.55e-01  1.32e+02  7.73e-03  2.09e+02  2.40e+02  8.71e-01  1.12e-01  5.76e-02

=========================================================================================================================

