Elastic         Elasto-plas
      lo      di      load       disp 
       0       0          0          0
     0.1    2.09        0.1       2.09
   0.219    4.64      0.219       4.64
   0.362    7.76      0.362       7.76
    0.53    11.6       0.53       11.6
   0.726    16.5      0.726       16.5
   0.947    22.8       0.87         23
    1.17      31      0.877       28.1
    1.28    39.5      0.863       33.3
    1.25    46.9      0.849       38.9
    1.15    52.3      0.834       44.6
    1.16    59.5      0.827       51.9
    1.13    65.2      0.808       59.3
    1.15    72.8       0.79       66.8
    1.16    80.3      0.775       74.3
    1.19    89.4       0.76       81.9
    1.23     100      0.751         91
    1.27     113      0.736        100
     1.3     126       0.72        110
    1.32     139      0.704        119
    1.36     152      0.691        129
    1.39     164      0.679        139
    1.43     177      0.669        148
    1.48     189      0.661        158
    1.53     201      0.654        168
    1.58     213      0.649        177
    1.63     225      0.645        187
    1.69     237      0.642        196
    1.75     249      0.641        206
    1.82     261      0.641        215
    1.89     272      0.642        224
    1.96     284      0.643        233
    2.03     295      0.645        242
    2.11     306      0.647        251
    2.19     317       0.65        259
    2.28     328      0.653        268
    2.37     339      0.656        276
    2.46     350      0.659        284
    2.56     361      0.662        292
    2.66     372      0.664        300
    2.77     382      0.667        308
                           
Err:510 Err:510            
