model name:                  Plate_Girder
No. of elements:                     2125
No. of Degrees of freedom:           4403

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -3.00e+05

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  4.86e+02  2.09e+02  5.08e+02  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  4.86e+02  2.09e+02  5.08e+02  1.00e-01  2.09e+00  0.00e+00  6.61e+00  1.98e+01  2.75e-02  3.96e-01  0.00e+00
          0  4.86e+02  2.09e+02  5.08e+02  2.19e-01  4.64e+00  0.00e+00  1.44e+01  4.33e+01  6.02e-02  3.77e-01  0.00e+00
          0  4.86e+02  2.09e+02  5.08e+02  3.62e-01  7.76e+00  0.00e+00  2.37e+01  7.09e+01  9.86e-02  3.56e-01  0.00e+00
          0  4.86e+02  2.09e+02  5.08e+02  5.30e-01  1.16e+01  0.00e+00  3.44e+01  1.03e+02  1.43e-01  3.33e-01  0.00e+00
        604  8.62e+01  4.01e+01  5.09e+02  7.26e-01  1.65e+01  1.04e-04  5.04e+01  2.40e+02  2.10e-01  3.01e-01  3.47e-04
        312  1.00e+02  4.84e+01  5.07e+02  8.70e-01  2.30e+01  1.29e-03  9.46e+01  2.40e+02  3.94e-01  2.28e-01  5.66e-03
        312  1.00e+02  4.84e+01  5.07e+02  8.77e-01  2.81e+01  1.87e-03  9.65e+01  2.40e+02  4.02e-01  2.26e-01  8.21e-03
        312  1.00e+02  4.84e+01  5.07e+02  8.63e-01  3.33e+01  2.24e-03  9.74e+01  2.40e+02  4.06e-01  2.24e-01  9.88e-03
        312  1.00e+02  4.84e+01  5.07e+02  8.49e-01  3.89e+01  2.61e-03  9.84e+01  2.40e+02  4.10e-01  2.23e-01  1.15e-02
        608  1.59e+02  1.33e+01  5.06e+02  8.34e-01  4.46e+01  3.16e-03  8.88e+01  2.40e+02  3.70e-01  2.37e-01  1.33e-02
        608  1.59e+02  1.33e+01  5.06e+02  8.27e-01  5.19e+01  3.80e-03  8.95e+01  2.40e+02  3.73e-01  2.36e-01  1.60e-02
        605  4.15e+01  1.33e+01  5.04e+02  8.08e-01  5.93e+01  3.03e-03  1.67e+02  2.40e+02  6.96e-01  1.45e-01  1.83e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.90e-01  6.68e+01  3.40e-03  1.73e+02  2.40e+02  7.19e-01  1.40e-01  2.10e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.75e-01  7.43e+01  3.80e-03  1.77e+02  2.40e+02  7.39e-01  1.36e-01  2.39e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.60e-01  8.19e+01  4.25e-03  1.82e+02  2.40e+02  7.59e-01  1.32e-01  2.73e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.51e-01  9.10e+01  4.90e-03  1.88e+02  2.40e+02  7.83e-01  1.27e-01  3.24e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.36e-01  1.00e+02  5.53e-03  1.93e+02  2.40e+02  8.06e-01  1.23e-01  3.75e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.20e-01  1.10e+02  6.15e-03  1.98e+02  2.40e+02  8.26e-01  1.19e-01  4.27e-02
        605  4.15e+01  1.33e+01  5.04e+02  7.04e-01  1.19e+02  6.79e-03  2.02e+02  2.40e+02  8.44e-01  1.16e-01  4.82e-02
        605  4.15e+01  1.33e+01  5.04e+02  6.91e-01  1.29e+02  7.47e-03  2.07e+02  2.40e+02  8.62e-01  1.13e-01  5.42e-02
        605  4.15e+01  1.33e+01  5.04e+02  6.79e-01  1.39e+02  8.18e-03  2.11e+02  2.40e+02  8.78e-01  1.10e-01  6.06e-02
