model name:                           Plate_with_hole_Example
No. of elements:                                          395
No. of Degrees of freedom:                                872
analysis type: elastic-plastic, geometric linear

=========================================================================================================================

Sum of loads x-direction:        1.00e+05
Sum of loads y-direction:        1.62e-26
Sum of loads z-direction:       -4.60e-26

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  1.05e+02  9.71e+01  9.31e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  1.05e+02  9.71e+01  9.31e+00  1.00e-01  8.05e-02  0.00e+00  2.94e+00  8.86e+00  2.94e-02  3.94e-01  0.00e+00
        913  4.90e+00  5.15e+01  4.15e+00  1.83e-01  1.79e-01  6.88e-04  5.63e+01  1.00e+02  5.63e-01  1.77e-01  3.88e-03
        913  4.90e+00  5.15e+01  4.15e+00  2.14e-01  2.79e-01  1.77e-03  6.28e+01  1.00e+02  6.28e-01  1.61e-01  1.06e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.23e-01  3.64e-01  2.57e-03  7.61e+01  1.00e+02  7.61e-01  1.32e-01  1.79e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.26e-01  4.35e-01  3.43e-03  7.99e+01  1.00e+02  7.99e-01  1.24e-01  2.49e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.28e-01  5.07e-01  4.34e-03  8.31e+01  1.00e+02  8.31e-01  1.19e-01  3.26e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.29e-01  5.79e-01  5.27e-03  8.57e+01  1.00e+02  8.57e-01  1.14e-01  4.08e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.30e-01  6.65e-01  6.41e-03  8.82e+01  1.00e+02  8.82e-01  1.10e-01  5.11e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.31e-01  7.69e-01  7.78e-03  9.07e+01  1.00e+02  9.07e-01  1.06e-01  6.40e-02
        233  2.18e+00  5.28e+01  3.45e+00  2.32e-01  8.93e-01  9.44e-03  9.31e+01  1.00e+02  9.31e-01  1.02e-01  8.04e-02

=========================================================================================================================

