model name:                    Plate_with_square_hole_Example
No. of elements:                                          453
No. of Degrees of freedom:                                993
analysis type: elastic-plastic, geometric linear

=========================================================================================================================

Sum of loads x-direction:        5.00e+04
Sum of loads y-direction:        9.29e-27
Sum of loads z-direction:       -2.71e-26

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  1.44e+02  8.90e+01  9.31e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  1.44e+02  8.90e+01  9.31e+00  1.00e-01  7.59e-03  0.00e+00  2.10e+00  6.27e+00  2.10e-02  3.99e-01  0.00e+00
          0  1.44e+02  8.90e+01  9.31e+00  2.20e-01  1.67e-02  0.00e+00  4.62e+00  1.38e+01  4.62e-02  3.85e-01  0.00e+00
          0  1.44e+02  8.90e+01  9.31e+00  3.64e-01  2.76e-02  0.00e+00  7.64e+00  2.28e+01  7.64e-02  3.68e-01  0.00e+00
          0  1.44e+02  8.90e+01  9.31e+00  5.37e-01  4.07e-02  0.00e+00  1.13e+01  3.37e+01  1.13e-01  3.48e-01  0.00e+00
       1225  4.77e+01  5.15e+01  7.93e+00  7.41e-01  5.64e-02  2.61e-04  5.23e+01  1.00e+02  5.23e-01  1.88e-01  1.39e-03
       1226  4.77e+01  5.15e+01  3.45e+00  9.29e-01  7.42e-02  5.25e-04  5.66e+01  1.00e+02  5.66e-01  1.76e-01  2.98e-03
       1226  4.77e+01  5.15e+01  3.45e+00  9.77e-01  8.22e-02  5.25e-04  5.36e+01  9.57e+01  5.36e-01  1.84e-01  2.98e-03
       1226  4.77e+01  5.15e+01  3.45e+00  9.94e-01  8.83e-02  5.25e-04  5.16e+01  9.05e+01  5.16e-01  1.90e-01  2.98e-03
       1661  1.15e+00  5.12e+01  2.76e+00  9.99e-01  9.42e-02  8.50e-04  3.35e+01  1.00e+02  3.35e-01  2.49e-01  3.42e-03
       1661  1.15e+00  5.12e+01  2.76e+00  1.00e+00  1.00e-01  1.06e-03  3.31e+01  1.00e+02  3.31e-01  2.51e-01  4.26e-03
       1661  1.15e+00  5.12e+01  2.76e+00  1.00e+00  1.06e-01  1.26e-03  3.28e+01  1.00e+02  3.28e-01  2.52e-01  5.05e-03
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.12e-01  1.44e-03  3.48e+01  1.00e+02  3.48e-01  2.45e-01  5.85e-03
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.18e-01  1.65e-03  3.50e+01  1.00e+02  3.50e-01  2.44e-01  6.69e-03
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.25e-01  1.89e-03  3.51e+01  1.00e+02  3.51e-01  2.43e-01  7.69e-03
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.33e-01  2.19e-03  3.53e+01  1.00e+02  3.53e-01  2.43e-01  8.90e-03
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.44e-01  2.54e-03  3.54e+01  1.00e+02  3.54e-01  2.42e-01  1.04e-02
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.56e-01  2.97e-03  3.55e+01  1.00e+02  3.55e-01  2.42e-01  1.21e-02
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.71e-01  3.48e-03  3.55e+01  1.00e+02  3.55e-01  2.42e-01  1.42e-02
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  1.88e-01  4.09e-03  3.55e+01  1.00e+02  3.55e-01  2.42e-01  1.68e-02
        194  1.99e+00  5.54e+01  6.91e-01  1.00e+00  2.09e-01  4.83e-03  3.55e+01  1.00e+02  3.55e-01  2.42e-01  1.98e-02

=========================================================================================================================

