model name:                                  Portal_support_3
No. of elements:                                         1265
No. of Degrees of freedom:                               2632
analysis type:          elastic-plastic, geometric non-linear
elastic buckling factors:                   [7.62041 7.96445]

=========================================================================================================================

Sum of loads x-direction:       -1.00e+05
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -1.23e+03

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  1.54e+02  1.28e+02  6.49e+02  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  1.54e+02  1.28e+02  6.49e+02  1.00e-01  7.21e-01  0.00e+00  2.08e-01  4.88e-01  8.67e-04  4.12e-01  0.00e+00
          0  1.54e+02  1.28e+02  6.49e+02  2.10e-01  1.51e+00  0.00e+00  4.37e-01  1.03e+00  1.82e-03  4.11e-01  0.00e+00
          0  1.54e+02  1.28e+02  6.49e+02  3.31e-01  2.39e+00  0.00e+00  6.88e-01  1.62e+00  2.87e-03  4.10e-01  0.00e+00
          0  1.54e+02  1.28e+02  6.49e+02  4.64e-01  3.35e+00  0.00e+00  9.64e-01  2.28e+00  4.01e-03  4.10e-01  0.00e+00
          0  1.54e+02  1.28e+02  6.49e+02  6.10e-01  4.40e+00  0.00e+00  1.27e+00  3.01e+00  5.28e-03  4.09e-01  0.00e+00
       2492  2.90e+02  5.85e+00  2.36e+01  7.48e-01  5.55e+00  2.76e-04  1.36e+02  2.40e+02  5.68e-01  1.76e-01  1.57e-03
       2492  2.90e+02  5.85e+00  2.36e+01  8.31e-01  6.66e+00  7.37e-04  1.41e+02  2.40e+02  5.89e-01  1.70e-01  4.27e-03
       2492  2.90e+02  5.85e+00  2.36e+01  8.79e-01  7.75e+00  1.24e-03  1.49e+02  2.40e+02  6.21e-01  1.62e-01  7.35e-03
       2492  2.90e+02  5.85e+00  2.36e+01  9.04e-01  8.82e+00  1.85e-03  1.58e+02  2.40e+02  6.58e-01  1.54e-01  1.13e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.17e-01  9.88e+00  2.53e-03  1.67e+02  2.40e+02  6.98e-01  1.45e-01  1.61e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.27e-01  1.09e+01  3.22e-03  1.76e+02  2.40e+02  7.32e-01  1.37e-01  2.11e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.37e-01  1.20e+01  3.91e-03  1.83e+02  2.40e+02  7.62e-01  1.31e-01  2.63e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.43e-01  1.31e+01  4.60e-03  1.89e+02  2.40e+02  7.88e-01  1.26e-01  3.18e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.48e-01  1.41e+01  5.27e-03  1.95e+02  2.40e+02  8.11e-01  1.22e-01  3.73e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.52e-01  1.52e+01  5.87e-03  1.99e+02  2.40e+02  8.28e-01  1.19e-01  4.23e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.56e-01  1.62e+01  6.44e-03  2.02e+02  2.40e+02  8.42e-01  1.17e-01  4.72e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.59e-01  1.73e+01  7.04e-03  2.06e+02  2.40e+02  8.57e-01  1.14e-01  5.25e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.61e-01  1.83e+01  7.70e-03  2.10e+02  2.40e+02  8.73e-01  1.11e-01  5.84e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.63e-01  1.94e+01  8.38e-03  2.14e+02  2.40e+02  8.90e-01  1.08e-01  6.47e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.65e-01  2.04e+01  9.07e-03  2.17e+02  2.40e+02  9.05e-01  1.06e-01  7.11e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.66e-01  2.15e+01  9.76e-03  2.21e+02  2.40e+02  9.20e-01  1.04e-01  7.79e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.68e-01  2.25e+01  1.05e-02  2.24e+02  2.40e+02  9.33e-01  1.02e-01  8.47e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.69e-01  2.36e+01  1.11e-02  2.27e+02  2.40e+02  9.45e-01  9.99e-02  9.15e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.70e-01  2.46e+01  1.18e-02  2.29e+02  2.40e+02  9.55e-01  9.84e-02  9.83e-02
       2492  2.90e+02  5.85e+00  2.36e+01  9.72e-01  2.57e+01  1.25e-02  2.31e+02  2.40e+02  9.64e-01  9.70e-02  1.05e-01
       2492  2.90e+02  5.85e+00  2.36e+01  9.73e-01  2.67e+01  1.31e-02  2.33e+02  2.40e+02  9.73e-01  9.58e-02  1.12e-01
       2492  2.90e+02  5.85e+00  2.36e+01  9.74e-01  2.78e+01  1.38e-02  2.35e+02  2.40e+02  9.81e-01  9.47e-02  1.19e-01
       2492  2.90e+02  5.85e+00  2.36e+01  9.75e-01  2.90e+01  1.45e-02  2.37e+02  2.40e+02  9.89e-01  9.35e-02  1.27e-01
       2492  2.90e+02  5.85e+00  2.36e+01  9.76e-01  3.01e+01  1.52e-02  2.39e+02  2.40e+02  9.97e-01  9.24e-02  1.34e-01
       2492  2.90e+02  5.85e+00  2.36e+01  9.77e-01  3.13e+01  1.60e-02  2.41e+02  2.40e+02  1.00e+00  9.14e-02  1.42e-01

=========================================================================================================================

