model name:                Simple Tension
No. of elements:                       24
No. of Degrees of freedom:             63

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:        1.00e+04

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  5.69e+00  2.76e+00  5.69e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  1.00e-01  4.76e-04  0.00e+00  3.33e+00  1.00e+01  1.39e-02  4.04e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  2.20e-01  1.05e-03  0.00e+00  7.33e+00  2.20e+01  3.06e-02  3.94e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  3.64e-01  1.73e-03  0.00e+00  1.21e+01  3.64e+01  5.06e-02  3.82e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  5.37e-01  2.56e-03  0.00e+00  1.79e+01  5.37e+01  7.46e-02  3.69e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  7.44e-01  3.54e-03  0.00e+00  2.48e+01  7.44e+01  1.03e-01  3.53e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  9.93e-01  4.73e-03  0.00e+00  3.31e+01  9.93e+01  1.38e-01  3.35e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  1.29e+00  6.15e-03  0.00e+00  4.31e+01  1.29e+02  1.79e-01  3.15e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  1.65e+00  7.86e-03  0.00e+00  5.50e+01  1.65e+02  2.29e-01  2.92e-01  0.00e+00
          0  5.69e+00  2.76e+00  5.69e+00  2.08e+00  9.90e-03  0.00e+00  6.93e+01  2.08e+02  2.89e-01  2.67e-01  0.00e+00
         45  2.76e+00  6.91e-01  9.31e+00  2.40e+00  1.27e-02  2.18e-04  8.00e+01  2.40e+02  3.34e-01  2.50e-01  8.72e-04
         45  2.76e+00  6.91e-01  9.31e+00  2.40e+00  1.64e-02  8.33e-04  8.02e+01  2.40e+02  3.34e-01  2.50e-01  3.33e-03
         30  6.91e-01  2.76e+00  9.31e+00  2.40e+00  2.12e-02  1.58e-03  8.05e+01  2.40e+02  3.36e-01  2.49e-01  6.32e-03
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  2.71e-02  2.47e-03  8.08e+01  2.40e+02  3.37e-01  2.49e-01  9.93e-03
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  3.42e-02  3.56e-03  8.12e+01  2.40e+02  3.38e-01  2.48e-01  1.43e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  4.30e-02  4.87e-03  8.15e+01  2.40e+02  3.40e-01  2.48e-01  1.96e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  5.35e-02  6.46e-03  8.19e+01  2.40e+02  3.41e-01  2.47e-01  2.60e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  6.63e-02  8.37e-03  8.22e+01  2.40e+02  3.43e-01  2.47e-01  3.38e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  7.92e-02  1.03e-02  8.26e+01  2.40e+02  3.44e-01  2.46e-01  4.16e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  9.21e-02  1.22e-02  8.28e+01  2.40e+02  3.45e-01  2.46e-01  4.95e-02
         30  6.91e-01  2.76e+00  9.31e+00  2.41e+00  1.08e-01  1.46e-02  8.30e+01  2.40e+02  3.46e-01  2.45e-01  5.91e-02

=========================================================================================================================

