ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 422038  3.33e-02  4.02e-04  1.48e+02  2.40e+02  6.16e-01  6.54e-03  6.15e-02
 343366  4.99e-02  1.09e-03  3.11e+02  2.40e+02  1.30e+00  2.36e-03  4.60e-01
 343366  5.81e-02  1.96e-03  3.92e+02  2.40e+02  1.63e+00  1.42e-03  1.37e+00
 363154  6.22e-02  1.88e-03  4.94e+02  2.40e+02  2.06e+00  7.52e-04  2.50e+00
 363154  6.55e-02  2.36e-03  5.53e+02  2.40e+02  2.30e+00  5.20e-04  4.54e+00
 363154  6.83e-02  2.84e-03  6.08e+02  2.40e+02  2.53e+00  3.68e-04  7.73e+00
 363154  7.06e-02  3.29e-03  6.55e+02  2.40e+02  2.73e+00  2.74e-04  1.20e+01
 363154  7.25e-02  3.71e-03  6.96e+02  2.40e+02  2.90e+00  2.13e-04  1.74e+01
 363154  7.41e-02  4.09e-03  7.31e+02  2.40e+02  3.04e+00  1.71e-04  2.39e+01
 363154  7.54e-02  4.44e-03  7.62e+02  2.40e+02  3.17e+00  1.41e-04  3.15e+01
 363154  7.64e-02  4.76e-03  7.89e+02  2.40e+02  3.29e+00  1.19e-04  4.01e+01
 363154  7.73e-02  5.05e-03  8.13e+02  2.40e+02  3.39e+00  1.03e-04  4.92e+01
 363154  7.81e-02  5.31e-03  8.33e+02  2.40e+02  3.47e+00  9.06e-05  5.86e+01
 363154  7.87e-02  5.53e-03  8.49e+02  2.40e+02  3.54e+00  8.17e-05  6.77e+01
 363154  7.93e-02  5.77e-03  8.66e+02  2.40e+02  3.61e+00  7.35e-05  7.84e+01
 363154  7.98e-02  5.97e-03  8.80e+02  2.40e+02  3.67e+00  6.72e-05  8.88e+01
 363154  8.02e-02  6.15e-03  8.93e+02  2.40e+02  3.72e+00  6.23e-05  9.87e+01
 363154  8.06e-02  6.33e-03  9.05e+02  2.40e+02  3.77e+00  5.77e-05  1.10e+02
 363154  8.10e-02  6.52e-03  9.17e+02  2.40e+02  3.82e+00  5.34e-05  1.22e+02
 363154  8.14e-02  6.71e-03  9.29e+02  2.40e+02  3.87e+00  4.95e-05  1.36e+02
 363154  8.18e-02  6.90e-03  9.42e+02  2.40e+02  3.92e+00  4.58e-05  1.51e+02
 363154  8.22e-02  7.11e-03  9.54e+02  2.40e+02  3.98e+00  4.23e-05  1.68e+02
 363154  8.26e-02  7.31e-03  9.67e+02  2.40e+02  4.03e+00  3.92e-05  1.87e+02
 363154  8.30e-02  7.52e-03  9.79e+02  2.40e+02  4.08e+00  3.62e-05  2.08e+02
 363154  8.34e-02  7.73e-03  9.92e+02  2.40e+02  4.13e+00  3.35e-05  2.31e+02
 363154  8.38e-02  7.95e-03  1.00e+03  2.40e+02  4.18e+00  3.10e-05  2.56e+02
 363154  8.42e-02  8.17e-03  1.02e+03  2.40e+02  4.24e+00  2.87e-05  2.85e+02
 363154  8.46e-02  8.39e-03  1.03e+03  2.40e+02  4.29e+00  2.66e-05  3.16e+02
 363154  8.50e-02  8.62e-03  1.04e+03  2.40e+02  4.34e+00  2.46e-05  3.51e+02
 363154  8.54e-02  8.85e-03  1.05e+03  2.40e+02  4.39e+00  2.28e-05  3.89e+02
