ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
     0  1.00e-01  0.00e+00  3.49e+00  1.02e+01  3.43e-01  2.46e-01  0.00e+00
     0  2.20e-01  0.00e+00  7.68e+00  2.24e+01  3.43e-01  2.46e-01  0.00e+00
     0  3.64e-01  0.00e+00  1.27e+01  3.70e+01  3.43e-01  2.46e-01  0.00e+00
     0  5.37e-01  0.00e+00  1.87e+01  5.46e+01  3.43e-01  2.46e-01  0.00e+00
     0  7.44e-01  0.00e+00  2.60e+01  7.57e+01  3.43e-01  2.46e-01  0.00e+00
     0  9.93e-01  0.00e+00  3.47e+01  1.01e+02  3.43e-01  2.46e-01  0.00e+00
     0  1.29e+00  0.00e+00  4.51e+01  1.31e+02  3.43e-01  2.46e-01  0.00e+00
 18582  1.65e+00  1.17e-04  1.04e+02  2.40e+02  4.32e-01  2.16e-01  5.41e-04
 18582  2.08e+00  5.34e-04  1.16e+02  2.40e+02  4.83e-01  2.00e-01  2.67e-03
 18582  2.29e+00  8.34e-04  1.17e+02  2.40e+02  4.87e-01  1.99e-01  4.20e-03
 18821  2.38e+00  4.82e-04  2.34e+02  2.40e+02  9.76e-01  9.53e-02  5.06e-03
 18821  2.39e+00  5.07e-04  2.36e+02  2.40e+02  9.83e-01  9.43e-02  5.38e-03
 18821  2.39e+00  5.22e-04  2.37e+02  2.40e+02  9.87e-01  9.38e-02  5.56e-03
 18821  2.39e+00  5.30e-04  2.37e+02  2.40e+02  9.89e-01  9.35e-02  5.67e-03
 18821  2.40e+00  5.36e-04  2.38e+02  2.40e+02  9.90e-01  9.34e-02  5.74e-03
 18821  2.40e+00  5.40e-04  2.38e+02  2.40e+02  9.91e-01  9.33e-02  5.79e-03
 18821  2.40e+00  5.44e-04  2.38e+02  2.40e+02  9.91e-01  9.32e-02  5.84e-03
 18821  2.40e+00  5.47e-04  2.38e+02  2.40e+02  9.92e-01  9.31e-02  5.88e-03
