  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  3.33e-02  2.69e-01  0.00e+00 -4.53e-04  3.74e-04 -1.21e+00  1.01e+13  0.00e+00
       0  7.33e-02  5.92e-01  0.00e+00 -9.97e-04  8.24e-04 -1.21e+00  1.01e+13  0.00e+00
       0  1.21e-01  9.80e-01  0.00e+00 -1.65e-03  1.36e-03 -1.21e+00  1.01e+13  0.00e+00
       0  1.79e-01  1.45e+00  0.00e+00 -2.43e-03  2.01e-03 -1.21e+00  1.01e+13  0.00e+00
       0  2.48e-01  2.00e+00  0.00e+00 -3.37e-03  2.79e-03 -1.21e+00  1.01e+13  0.00e+00
       0  3.31e-01  2.67e+00  0.00e+00 -4.50e-03  3.72e-03 -1.21e+00  1.01e+13  0.00e+00
    1882  4.30e-01  3.48e+00  1.23e-04 -1.41e-02  2.00e-02 -7.05e-01  4.75e+12  2.59e-17
    1490  5.48e-01  4.44e+00  5.97e-04  3.41e-02  2.00e-02  1.70e+00  1.28e+11  4.66e-15
    1490  6.83e-01  5.59e+00  2.32e-03  4.43e-02  2.00e-02  2.22e+00  5.92e+10  3.91e-14
    1490  8.06e-01  6.74e+00  4.52e-03  5.38e-02  2.00e-02  2.69e+00  2.91e+10  1.55e-13
    1490  9.09e-01  7.85e+00  7.34e-03  6.26e-02  2.00e-02  3.13e+00  1.51e+10  4.87e-13
    1490  9.77e-01  8.75e+00  9.79e-03  6.96e-02  2.00e-02  3.48e+00  8.92e+09  1.10e-12
    1490  1.02e+00  9.51e+00  1.18e-02  7.46e-02  2.00e-02  3.73e+00  6.10e+09  1.93e-12
    1490  1.06e+00  1.01e+01  1.33e-02  7.86e-02  2.00e-02  3.93e+00  4.55e+09  2.92e-12
    1490  1.09e+00  1.07e+01  1.47e-02  8.21e-02  2.00e-02  4.11e+00  3.49e+09  4.20e-12
    1490  1.11e+00  1.13e+01  1.58e-02  8.50e-02  2.00e-02  4.25e+00  2.81e+09  5.64e-12
    1490  1.12e+00  1.18e+01  1.65e-02  8.65e-02  2.00e-02  4.32e+00  2.52e+09  6.56e-12
    1490  1.13e+00  1.21e+01  1.71e-02  8.72e-02  2.00e-02  4.36e+00  2.39e+09  7.14e-12
    1490  1.13e+00  1.24e+01  1.74e-02  8.75e-02  2.00e-02  4.38e+00  2.32e+09  7.51e-12
    1490  1.13e+00  1.27e+01  1.78e-02  8.78e-02  2.00e-02  4.39e+00  2.27e+09  7.86e-12
    1490  1.14e+00  1.31e+01  1.82e-02  8.81e-02  2.00e-02  4.40e+00  2.23e+09  8.19e-12
    1490  1.14e+00  1.35e+01  1.87e-02  8.81e-02  2.00e-02  4.41e+00  2.22e+09  8.43e-12
    1490  1.15e+00  1.39e+01  1.92e-02  8.82e-02  2.00e-02  4.41e+00  2.22e+09  8.65e-12
    1493  1.15e+00  1.45e+01  1.97e-02  8.82e-02  2.00e-02  4.41e+00  2.22e+09  8.88e-12
    1493  1.15e+00  1.50e+01  2.02e-02  8.82e-02  2.00e-02  4.41e+00  2.21e+09  9.16e-12
    1493  1.15e+00  1.55e+01  2.08e-02  8.82e-02  2.00e-02  4.41e+00  2.21e+09  9.40e-12
    1493  1.16e+00  1.60e+01  2.13e-02  8.82e-02  2.00e-02  4.41e+00  2.20e+09  9.66e-12
    1493  1.16e+00  1.65e+01  2.18e-02  8.83e-02  2.00e-02  4.41e+00  2.19e+09  9.94e-12
    1493  1.16e+00  1.71e+01  2.24e-02  8.84e-02  2.00e-02  4.42e+00  2.18e+09  1.03e-11
    1493  1.16e+00  1.79e+01  2.31e-02  8.85e-02  2.00e-02  4.43e+00  2.16e+09  1.07e-11
    1493  1.16e+00  1.88e+01  2.40e-02  8.86e-02  2.00e-02  4.43e+00  2.14e+09  1.12e-11
    1493  1.16e+00  1.98e+01  2.48e-02  8.87e-02  2.00e-02  4.44e+00  2.12e+09  1.17e-11
    1493  1.16e+00  2.07e+01  2.57e-02  8.89e-02  2.00e-02  4.44e+00  2.10e+09  1.22e-11
    1493  1.17e+00  2.19e+01  2.67e-02  8.91e-02  2.00e-02  4.45e+00  2.07e+09  1.29e-11
    1493  1.17e+00  2.30e+01  2.78e-02  8.93e-02  2.00e-02  4.46e+00  2.04e+09  1.36e-11
    1493  1.17e+00  2.44e+01  2.90e-02  8.96e-02  2.00e-02  4.48e+00  1.99e+09  1.46e-11
    1493  1.17e+00  2.61e+01  3.06e-02  9.01e-02  2.00e-02  4.50e+00  1.92e+09  1.60e-11
    1493  1.17e+00  2.80e+01  3.22e-02  9.06e-02  2.00e-02  4.53e+00  1.84e+09  1.75e-11
    1493  1.17e+00  3.00e+01  3.38e-02  9.13e-02  2.00e-02  4.56e+00  1.76e+09  1.92e-11
    1493  1.17e+00  3.21e+01  3.54e-02  9.19e-02  2.00e-02  4.60e+00  1.67e+09  2.11e-11
    1493  1.17e+00  3.41e+01  3.70e-02  9.26e-02  2.00e-02  4.63e+00  1.59e+09  2.33e-11
    1493  1.18e+00  3.66e+01  3.90e-02  9.34e-02  2.00e-02  4.67e+00  1.50e+09  2.61e-11
    1493  1.18e+00  3.95e+01  4.14e-02  9.44e-02  2.00e-02  4.72e+00  1.39e+09  2.98e-11
    1493  1.18e+00  4.25e+01  4.39e-02  9.52e-02  2.00e-02  4.76e+00  1.30e+09  3.37e-11
    1493  1.18e+00  4.55e+01  4.63e-02  9.61e-02  2.00e-02  4.80e+00  1.22e+09  3.78e-11
    1493  1.18e+00  4.84e+01  4.87e-02  9.68e-02  2.00e-02  4.84e+00  1.16e+09  4.21e-11
    1493  1.18e+00  5.14e+01  5.12e-02  9.75e-02  2.00e-02  4.88e+00  1.10e+09  4.66e-11
    1493  1.18e+00  5.43e+01  5.36e-02  9.82e-02  2.00e-02  4.91e+00  1.05e+09  5.13e-11
    1493  1.18e+00  5.73e+01  5.61e-02  9.88e-02  2.00e-02  4.94e+00  1.00e+09  5.61e-11
    1493  1.18e+00  6.03e+01  5.86e-02  9.93e-02  2.00e-02  4.97e+00  9.60e+08  6.10e-11
    1493  1.18e+00  6.38e+01  6.15e-02  9.99e-02  2.00e-02  5.00e+00  9.16e+08  6.71e-11
