  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.67e-02  6.06e-02  0.00e+00 -8.88e-02  4.97e-01 -1.79e-01  5.39e-01  0.00e+00
       0  3.67e-02  1.33e-01  0.00e+00 -1.95e-01  1.09e+00 -1.79e-01  5.39e-01  0.00e+00
       0  6.07e-02  2.21e-01  0.00e+00 -3.23e-01  1.81e+00 -1.79e-01  5.39e-01  0.00e+00
       0  8.95e-02  3.25e-01  0.00e+00 -4.77e-01  2.67e+00 -1.79e-01  5.39e-01  0.00e+00
       0  1.24e-01  4.51e-01  0.00e+00 -6.61e-01  3.70e+00 -1.79e-01  5.39e-01  0.00e+00
       0  1.65e-01  6.02e-01  0.00e+00 -8.82e-01  4.93e+00 -1.79e-01  5.39e-01  0.00e+00
       0  2.15e-01  7.83e-01  0.00e+00 -1.15e+00  6.41e+00 -1.79e-01  5.39e-01  0.00e+00
       0  2.75e-01  1.00e+00  0.00e+00 -1.47e+00  8.19e+00 -1.79e-01  5.39e-01  0.00e+00
       0  3.47e-01  1.26e+00  0.00e+00 -1.85e+00  1.03e+01 -1.79e-01  5.39e-01  0.00e+00
  147736  4.32e-01  1.57e+00  5.51e-04  2.51e+02  2.41e+02  1.04e+00  8.62e-02  6.40e-03
  147736  5.15e-01  1.89e+00  1.52e-03  2.76e+02  2.43e+02  1.14e+00  7.51e-02  2.02e-02
  147736  5.78e-01  2.15e+00  2.55e-03  2.92e+02  2.45e+02  1.19e+00  6.91e-02  3.69e-02
  155796  6.27e-01  2.37e+00  2.47e-03  3.81e+02  2.45e+02  1.56e+00  3.99e-02  6.18e-02
  155796  6.66e-01  2.56e+00  3.23e-03  4.12e+02  2.46e+02  1.67e+00  3.36e-02  9.61e-02
  155796  6.97e-01  2.72e+00  3.89e-03  4.36e+02  2.48e+02  1.76e+00  2.94e-02  1.32e-01
  155796  7.28e-01  2.89e+00  4.55e-03  4.58e+02  2.49e+02  1.84e+00  2.61e-02  1.74e-01
  155796  7.57e-01  3.05e+00  5.21e-03  4.79e+02  2.50e+02  1.91e+00  2.34e-02  2.23e-01
  155796  7.85e-01  3.22e+00  5.87e-03  4.99e+02  2.52e+02  1.98e+00  2.11e-02  2.78e-01
  155796  8.12e-01  3.39e+00  6.54e-03  5.18e+02  2.53e+02  2.04e+00  1.92e-02  3.41e-01
  155796  8.38e-01  3.55e+00  7.22e-03  5.35e+02  2.54e+02  2.10e+00  1.76e-02  4.11e-01
  155796  8.63e-01  3.72e+00  7.92e-03  5.52e+02  2.56e+02  2.16e+00  1.62e-02  4.88e-01
  155796  8.88e-01  3.89e+00  8.63e-03  5.67e+02  2.57e+02  2.20e+00  1.51e-02  5.70e-01
  155796  9.12e-01  4.07e+00  9.33e-03  5.81e+02  2.59e+02  2.25e+00  1.42e-02  6.57e-01
  155796  9.35e-01  4.24e+00  1.00e-02  5.94e+02  2.60e+02  2.29e+00  1.34e-02  7.51e-01
  155796  9.57e-01  4.41e+00  1.08e-02  6.07e+02  2.62e+02  2.32e+00  1.27e-02  8.50e-01
  155796  9.78e-01  4.58e+00  1.15e-02  6.20e+02  2.63e+02  2.36e+00  1.20e-02  9.54e-01
  155796  9.98e-01  4.76e+00  1.22e-02  6.31e+02  2.64e+02  2.39e+00  1.15e-02  1.06e+00
  155796  1.02e+00  4.94e+00  1.29e-02  6.42e+02  2.66e+02  2.42e+00  1.10e-02  1.17e+00
  155796  1.03e+00  5.11e+00  1.36e-02  6.52e+02  2.67e+02  2.44e+00  1.06e-02  1.29e+00
  155796  1.05e+00  5.29e+00  1.44e-02  6.62e+02  2.69e+02  2.47e+00  1.02e-02  1.40e+00
  155796  1.07e+00  5.47e+00  1.51e-02  6.72e+02  2.70e+02  2.49e+00  9.88e-03  1.53e+00
  155796  1.08e+00  5.65e+00  1.58e-02  6.81e+02  2.72e+02  2.51e+00  9.58e-03  1.65e+00
  155796  1.09e+00  5.83e+00  1.65e-02  6.90e+02  2.73e+02  2.53e+00  9.33e-03  1.77e+00
  155796  1.11e+00  6.01e+00  1.72e-02  6.98e+02  2.74e+02  2.54e+00  9.10e-03  1.89e+00
  155796  1.12e+00  6.19e+00  1.79e-02  7.05e+02  2.76e+02  2.56e+00  8.90e-03  2.02e+00
  155796  1.13e+00  6.37e+00  1.87e-02  7.13e+02  2.77e+02  2.57e+00  8.72e-03  2.14e+00
  155796  1.14e+00  6.55e+00  1.94e-02  7.20e+02  2.79e+02  2.58e+00  8.56e-03  2.26e+00
