model name:                 Tubes_Example
No. of elements:                    10306
No. of Degrees of freedom:          20797

=========================================================================================================================

Sum of loads x-direction:        4.43e+06
Sum of loads y-direction:        2.48e-09
Sum of loads z-direction:        2.70e-09

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  1.22e+03  2.29e+02  1.03e+03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  1.67e-02  5.89e-02  0.00e+00  4.17e-01  1.97e+00  1.74e-03  4.11e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  3.67e-02  1.30e-01  0.00e+00  9.17e-01  4.34e+00  3.82e-03  4.10e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  6.07e-02  2.14e-01  0.00e+00  1.52e+00  7.18e+00  6.33e-03  4.08e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  8.95e-02  3.16e-01  0.00e+00  2.24e+00  1.06e+01  9.33e-03  4.06e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  1.24e-01  4.38e-01  0.00e+00  3.10e+00  1.47e+01  1.29e-02  4.04e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  1.65e-01  5.85e-01  0.00e+00  4.14e+00  1.96e+01  1.73e-02  4.02e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  2.15e-01  7.61e-01  0.00e+00  5.39e+00  2.55e+01  2.24e-02  3.99e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  2.75e-01  9.72e-01  0.00e+00  6.88e+00  3.25e+01  2.87e-02  3.95e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  3.47e-01  1.22e+00  0.00e+00  8.67e+00  4.10e+01  3.61e-02  3.90e-01  0.00e+00
          0  1.22e+03  2.29e+02  1.03e+03  4.33e-01  1.53e+00  0.00e+00  1.08e+01  5.12e+01  4.51e-02  3.85e-01  0.00e+00
        805  9.80e+02  2.43e+02  9.69e+02  5.34e-01  1.89e+00  4.67e-04  2.21e+02  2.40e+02  9.20e-01  1.04e-01  4.50e-03
        214  9.79e+02  2.43e+02  1.03e+03  6.46e-01  2.33e+00  1.33e-03  3.06e+02  2.40e+02  1.28e+00  6.08e-02  2.00e-02
        214  9.79e+02  2.43e+02  1.03e+03  7.43e-01  2.77e+00  2.71e-03  3.60e+02  2.40e+02  1.50e+00  4.34e-02  5.16e-02
