  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  1.00e-01  3.54e-04  0.00e+00  6.19e+00  5.71e+00  1.08e+00  8.12e-02  0.00e+00
       0  2.20e-01  7.78e-04  0.00e+00  1.36e+01  1.26e+01  1.08e+00  8.12e-02  0.00e+00
       0  3.64e-01  1.29e-03  0.00e+00  2.25e+01  2.08e+01  1.08e+00  8.12e-02  0.00e+00
       0  5.37e-01  1.90e-03  0.00e+00  3.32e+01  3.07e+01  1.08e+00  8.12e-02  0.00e+00
       0  7.44e-01  2.63e-03  0.00e+00  4.61e+01  4.25e+01  1.08e+00  8.12e-02  0.00e+00
       0  9.93e-01  3.51e-03  0.00e+00  6.15e+01  5.67e+01  1.08e+00  8.12e-02  0.00e+00
       0  1.29e+00  4.57e-03  0.00e+00  8.00e+01  7.38e+01  1.08e+00  8.12e-02  0.00e+00
       0  1.65e+00  5.84e-03  0.00e+00  1.02e+02  9.43e+01  1.08e+00  8.12e-02  0.00e+00
       0  2.08e+00  7.36e-03  0.00e+00  1.29e+02  1.19e+02  1.08e+00  8.12e-02  0.00e+00
       0  2.60e+00  9.18e-03  0.00e+00  1.61e+02  1.48e+02  1.08e+00  8.12e-02  0.00e+00
       0  3.22e+00  1.14e-02  0.00e+00  1.99e+02  1.84e+02  1.08e+00  8.12e-02  0.00e+00
       0  3.96e+00  1.40e-02  0.00e+00  2.45e+02  2.26e+02  1.08e+00  8.12e-02  0.00e+00
      57  4.60e+00  1.72e-02  1.53e-04  3.00e+02  2.40e+02  1.25e+00  6.31e-02  2.43e-03
      57  5.26e+00  2.09e-02  4.06e-04  3.66e+02  2.40e+02  1.53e+00  4.17e-02  9.72e-03
      57  6.06e+00  2.55e-02  7.08e-04  4.46e+02  2.40e+02  1.86e+00  2.54e-02  2.79e-02
      80  7.01e+00  3.09e-02  1.07e-03  5.41e+02  2.40e+02  2.26e+00  1.40e-02  7.66e-02
      80  8.16e+00  3.75e-02  1.51e-03  6.56e+02  2.40e+02  2.73e+00  6.84e-03  2.20e-01
      80  9.53e+00  4.53e-02  2.03e-03  7.93e+02  2.40e+02  3.30e+00  2.90e-03  7.00e-01
      80  1.12e+01  5.47e-02  2.66e-03  9.58e+02  2.40e+02  3.99e+00  1.04e-03  2.57e+00
      80  1.32e+01  6.60e-02  3.41e-03  1.16e+03  2.40e+02  4.82e+00  3.01e-04  1.13e+01
