ip_max      load      peeq  pressure   svmises     triax    eps_cr   csr_max
     0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
     0  4.00e-02  0.00e+00  1.33e+00  4.00e+00  3.33e-01  2.50e-01  0.00e+00
     0  8.80e-02  0.00e+00  2.93e+00  8.80e+00  3.33e-01  2.50e-01  0.00e+00
     0  1.46e-01  0.00e+00  4.85e+00  1.46e+01  3.33e-01  2.50e-01  0.00e+00
     0  2.15e-01  0.00e+00  7.16e+00  2.15e+01  3.33e-01  2.50e-01  0.00e+00
     0  2.98e-01  0.00e+00  9.92e+00  2.98e+01  3.33e-01  2.50e-01  0.00e+00
     0  3.97e-01  0.00e+00  1.32e+01  3.97e+01  3.33e-01  2.50e-01  0.00e+00
     0  5.17e-01  0.00e+00  1.72e+01  5.17e+01  3.33e-01  2.50e-01  0.00e+00
     0  6.60e-01  0.00e+00  2.20e+01  6.60e+01  3.33e-01  2.50e-01  0.00e+00
     0  8.32e-01  0.00e+00  2.77e+01  8.32e+01  3.33e-01  2.50e-01  0.00e+00
     0  1.04e+00  0.00e+00  3.46e+01  1.04e+02  3.33e-01  2.50e-01  0.00e+00
     0  1.29e+00  0.00e+00  4.29e+01  1.29e+02  3.33e-01  2.50e-01  0.00e+00
     0  1.58e+00  0.00e+00  5.28e+01  1.58e+02  3.33e-01  2.50e-01  0.00e+00
     0  1.94e+00  0.00e+00  6.47e+01  1.94e+02  3.33e-01  2.50e-01  0.00e+00
     0  2.37e+00  0.00e+00  7.89e+01  2.37e+02  3.33e-01  2.50e-01  0.00e+00
 69120  2.40e+00  2.01e-05  8.12e+01  2.40e+02  3.38e-01  2.48e-01  8.11e-05
 58948  2.40e+00  3.25e-05  8.00e+01  2.40e+02  3.33e-01  2.50e-01  1.30e-04
 58948  2.40e+00  4.97e-05  8.00e+01  2.40e+02  3.33e-01  2.50e-01  1.99e-04
 58948  2.40e+00  6.80e-05  8.00e+01  2.40e+02  3.33e-01  2.50e-01  2.72e-04
