  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
       0  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
       0  4.00e-02  2.02e-04  0.00e+00  1.41e+00  4.03e+00  3.51e-01  2.43e-01  0.00e+00
       0  8.80e-02  4.44e-04  0.00e+00  3.11e+00  8.86e+00  3.51e-01  2.43e-01  0.00e+00
       0  1.46e-01  7.35e-04  0.00e+00  5.15e+00  1.47e+01  3.51e-01  2.43e-01  0.00e+00
       0  2.15e-01  1.08e-03  0.00e+00  7.59e+00  2.16e+01  3.51e-01  2.43e-01  0.00e+00
       0  2.98e-01  1.50e-03  0.00e+00  1.05e+01  3.00e+01  3.51e-01  2.43e-01  0.00e+00
       0  3.97e-01  2.00e-03  0.00e+00  1.40e+01  4.00e+01  3.51e-01  2.43e-01  0.00e+00
       0  5.17e-01  2.61e-03  0.00e+00  1.83e+01  5.20e+01  3.51e-01  2.43e-01  0.00e+00
       0  6.60e-01  3.33e-03  0.00e+00  2.33e+01  6.64e+01  3.51e-01  2.43e-01  0.00e+00
       0  8.32e-01  4.20e-03  0.00e+00  2.94e+01  8.37e+01  3.51e-01  2.43e-01  0.00e+00
   71808  1.04e+00  5.24e-03  9.23e-05  1.02e+02  2.40e+02  4.25e-01  2.18e-01  4.24e-04
   71808  1.29e+00  6.49e-03  4.52e-04  1.14e+02  2.40e+02  4.75e-01  2.02e-01  2.23e-03
   71762  1.58e+00  7.99e-03  5.42e-04  2.42e+02  2.40e+02  1.01e+00  9.09e-02  5.96e-03
   71762  1.88e+00  9.49e-03  1.07e-03  2.75e+02  2.40e+02  1.15e+00  7.39e-02  1.45e-02
   71762  2.16e+00  1.10e-02  1.73e-03  3.10e+02  2.40e+02  1.29e+00  5.93e-02  2.92e-02
   71762  2.39e+00  1.27e-02  2.46e-03  3.44e+02  2.40e+02  1.43e+00  4.80e-02  5.13e-02
   71762  2.40e+00  1.30e-02  2.53e-03  3.46e+02  2.40e+02  1.44e+00  4.73e-02  5.34e-02
   71762  2.40e+00  1.34e-02  2.55e-03  3.47e+02  2.40e+02  1.45e+00  4.71e-02  5.41e-02
   71762  2.40e+00  1.38e-02  2.56e-03  3.48e+02  2.40e+02  1.45e+00  4.69e-02  5.45e-02
   71762  2.41e+00  1.42e-02  2.57e-03  3.48e+02  2.40e+02  1.45e+00  4.68e-02  5.49e-02
   71762  2.41e+00  1.46e-02  2.58e-03  3.49e+02  2.40e+02  1.45e+00  4.67e-02  5.53e-02
   71762  2.41e+00  1.51e-02  2.59e-03  3.49e+02  2.40e+02  1.45e+00  4.65e-02  5.57e-02
   71762  2.41e+00  1.56e-02  2.60e-03  3.49e+02  2.40e+02  1.46e+00  4.64e-02  5.61e-02
   71762  2.41e+00  1.60e-02  2.62e-03  3.50e+02  2.40e+02  1.46e+00  4.63e-02  5.65e-02
   71762  2.41e+00  1.65e-02  2.63e-03  3.51e+02  2.40e+02  1.46e+00  4.61e-02  5.71e-02
   71762  2.41e+00  1.71e-02  2.65e-03  3.51e+02  2.40e+02  1.46e+00  4.59e-02  5.76e-02
