model name:   VM_Uniaxial_Tension_Example
No. of elements:                       24
No. of Degrees of freedom:             63

=========================================================================================================================

Sum of loads x-direction:        1.00e+04
Sum of loads y-direction:       -2.52e-29
Sum of loads z-direction:        1.01e-28

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  5.69e+00  2.76e+00  4.31e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  4.00e-02  1.90e-04  0.00e+00  1.33e+00  4.00e+00  5.56e-03  4.09e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  8.80e-02  4.19e-04  0.00e+00  2.93e+00  8.80e+00  1.22e-02  4.05e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  1.46e-01  6.93e-04  0.00e+00  4.85e+00  1.46e+01  2.02e-02  4.00e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  2.15e-01  1.02e-03  0.00e+00  7.16e+00  2.15e+01  2.98e-02  3.94e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  2.98e-01  1.42e-03  0.00e+00  9.92e+00  2.98e+01  4.13e-02  3.87e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  3.97e-01  1.89e-03  0.00e+00  1.32e+01  3.97e+01  5.52e-02  3.79e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  5.17e-01  2.46e-03  0.00e+00  1.72e+01  5.17e+01  7.18e-02  3.70e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  6.60e-01  3.14e-03  0.00e+00  2.20e+01  6.60e+01  9.17e-02  3.59e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  8.32e-01  3.96e-03  0.00e+00  2.77e+01  8.32e+01  1.16e-01  3.47e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  1.04e+00  4.94e-03  0.00e+00  3.46e+01  1.04e+02  1.44e-01  3.32e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  1.29e+00  6.12e-03  0.00e+00  4.29e+01  1.29e+02  1.79e-01  3.15e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  1.58e+00  7.54e-03  0.00e+00  5.28e+01  1.58e+02  2.20e-01  2.96e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  1.94e+00  9.24e-03  0.00e+00  6.47e+01  1.94e+02  2.69e-01  2.75e-01  0.00e+00
          0  5.69e+00  2.76e+00  4.31e+00  2.37e+00  1.13e-02  0.00e+00  7.89e+01  2.37e+02  3.29e-01  2.52e-01  0.00e+00
         81  6.38e+00  3.62e+00  8.62e+00  2.40e+00  1.37e-02  2.29e-04  8.00e+01  2.40e+02  3.33e-01  2.50e-01  9.17e-04
         81  6.38e+00  3.62e+00  8.62e+00  2.40e+00  1.66e-02  5.17e-04  8.00e+01  2.40e+02  3.34e-01  2.50e-01  2.07e-03
         81  6.38e+00  3.62e+00  8.62e+00  2.40e+00  2.00e-02  8.62e-04  8.00e+01  2.40e+02  3.33e-01  2.50e-01  3.45e-03
         81  6.38e+00  3.62e+00  8.62e+00  2.40e+00  2.42e-02  1.28e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  5.10e-03
         33  6.91e-01  7.24e+00  9.31e+00  2.40e+00  2.92e-02  1.77e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  7.09e-03
         33  6.91e-01  7.24e+00  9.31e+00  2.40e+00  3.51e-02  2.37e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  9.47e-03
         27  6.91e-01  9.31e+00  7.24e+00  2.40e+00  4.23e-02  3.08e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  1.23e-02
         27  6.91e-01  9.31e+00  7.24e+00  2.40e+00  5.08e-02  3.94e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  1.58e-02
         27  6.91e-01  9.31e+00  7.24e+00  2.40e+00  6.11e-02  4.97e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  1.99e-02
         24  6.91e-01  7.07e+00  5.00e+00  2.40e+00  7.35e-02  6.21e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  2.48e-02
         24  6.91e-01  7.07e+00  5.00e+00  2.40e+00  8.83e-02  7.69e-03  8.00e+01  2.40e+02  3.33e-01  2.50e-01  3.08e-02

=========================================================================================================================

