model name:                                        cantilever
No. of elements:                                         4998
No. of Degrees of freedom:                              10600
analysis type: elastic-plastic, geometric linear

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -1.00e+00

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  4.12e+00  9.19e+00  5.85e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  4.12e+00  9.19e+00  5.85e-01  1.00e-01  1.88e-01  0.00e+00  2.92e-01  9.90e-01  2.92e-02  3.94e-01  0.00e+00
          0  4.12e+00  9.19e+00  5.85e-01  2.20e-01  4.15e-01  0.00e+00  6.43e-01  2.18e+00  6.43e-02  3.74e-01  0.00e+00
       5657  7.95e-01  5.65e+00  8.62e-01  2.49e-01  4.71e-01  7.85e-06  5.24e+00  1.00e+01  5.24e-01  1.88e-01  4.18e-05
       5657  7.95e-01  5.65e+00  8.62e-01  2.54e-01  4.84e-01  1.16e-05  5.33e+00  1.00e+01  5.33e-01  1.85e-01  6.22e-05
       5657  7.95e-01  5.65e+00  8.62e-01  2.57e-01  4.95e-01  1.46e-05  5.40e+00  1.00e+01  5.40e-01  1.83e-01  7.81e-05
       5657  7.95e-01  5.65e+00  8.62e-01  2.60e-01  5.05e-01  1.69e-05  5.45e+00  1.00e+01  5.45e-01  1.82e-01  9.11e-05
       5657  7.95e-01  5.65e+00  8.62e-01  2.62e-01  5.12e-01  1.88e-05  5.50e+00  1.00e+01  5.50e-01  1.81e-01  1.02e-04
       5657  7.95e-01  5.65e+00  8.62e-01  2.63e-01  5.19e-01  2.04e-05  5.53e+00  1.00e+01  5.53e-01  1.80e-01  1.10e-04
       5657  7.95e-01  5.65e+00  8.62e-01  2.64e-01  5.24e-01  2.17e-05  5.56e+00  1.00e+01  5.56e-01  1.79e-01  1.18e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.65e-01  5.28e-01  2.31e-05  5.58e+00  1.00e+01  5.58e-01  1.79e-01  1.24e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.66e-01  5.33e-01  2.43e-05  5.61e+00  1.00e+01  5.61e-01  1.78e-01  1.31e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.67e-01  5.37e-01  2.55e-05  5.64e+00  1.00e+01  5.64e-01  1.77e-01  1.37e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.68e-01  5.41e-01  2.67e-05  5.68e+00  1.00e+01  5.68e-01  1.76e-01  1.44e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.69e-01  5.46e-01  2.79e-05  5.71e+00  1.00e+01  5.71e-01  1.75e-01  1.51e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.70e-01  5.50e-01  2.90e-05  5.74e+00  1.00e+01  5.74e-01  1.74e-01  1.58e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.71e-01  5.54e-01  3.02e-05  5.77e+00  1.00e+01  5.77e-01  1.74e-01  1.64e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.72e-01  5.59e-01  3.13e-05  5.80e+00  1.00e+01  5.80e-01  1.73e-01  1.71e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.72e-01  5.63e-01  3.25e-05  5.83e+00  1.00e+01  5.83e-01  1.72e-01  1.78e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.73e-01  5.67e-01  3.39e-05  5.86e+00  1.00e+01  5.86e-01  1.71e-01  1.86e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.74e-01  5.72e-01  3.53e-05  5.89e+00  1.00e+01  5.89e-01  1.70e-01  1.94e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.75e-01  5.76e-01  3.67e-05  5.92e+00  1.00e+01  5.92e-01  1.69e-01  2.02e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.75e-01  5.80e-01  3.79e-05  5.95e+00  1.00e+01  5.95e-01  1.69e-01  2.10e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.76e-01  5.83e-01  3.90e-05  5.97e+00  1.00e+01  5.97e-01  1.68e-01  2.16e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.76e-01  5.86e-01  4.01e-05  6.00e+00  1.00e+01  6.00e-01  1.68e-01  2.23e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.77e-01  5.89e-01  4.12e-05  6.02e+00  1.00e+01  6.02e-01  1.67e-01  2.30e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.77e-01  5.92e-01  4.24e-05  6.04e+00  1.00e+01  6.04e-01  1.67e-01  2.36e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.78e-01  5.95e-01  4.36e-05  6.06e+00  1.00e+01  6.06e-01  1.66e-01  2.44e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.78e-01  5.97e-01  4.46e-05  6.08e+00  1.00e+01  6.08e-01  1.66e-01  2.50e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.78e-01  5.99e-01  4.55e-05  6.09e+00  1.00e+01  6.09e-01  1.65e-01  2.55e-04
       5663  1.20e+00  4.62e+00  8.62e-01  2.79e-01  6.01e-01  4.64e-05  6.11e+00  1.00e+01  6.11e-01  1.65e-01  2.61e-04

=========================================================================================================================

