model name: fcFEM_plate_with_hole_Example
No. of elements:                      472
No. of Degrees of freedom:           1019

=========================================================================================================================

Sum of loads x-direction:        5.00e+04
Sum of loads y-direction:        7.27e-27
Sum of loads z-direction:       -1.42e+01

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  7.85e+01  3.89e+01  2.06e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.00e-01  6.93e-03  0.00e+00  1.05e+00  5.58e+00  4.39e-03  4.09e-01  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  2.20e-01  1.52e-02  0.00e+00  2.32e+00  1.23e+01  9.66e-03  4.06e-01  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  3.64e-01  2.52e-02  0.00e+00  3.84e+00  2.03e+01  1.60e-02  4.02e-01  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  5.37e-01  3.72e-02  0.00e+00  5.66e+00  2.99e+01  2.36e-02  3.98e-01  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  7.44e-01  5.16e-02  0.00e+00  7.85e+00  4.15e+01  3.27e-02  3.92e-01  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  9.93e-01  6.88e-02  0.00e+00  1.05e+01  5.54e+01  4.36e-02  3.86e-01  0.00e+00
        409  2.72e+00  5.10e+01  6.55e+00  1.29e+00  8.95e-02  1.33e-04  8.43e+01  2.40e+02  3.51e-01  2.43e-01  5.45e-04
        409  2.72e+00  5.10e+01  6.55e+00  1.62e+00  1.14e-01  7.92e-04  8.36e+01  2.40e+02  3.48e-01  2.44e-01  3.24e-03
        411  2.72e+00  5.10e+01  2.07e+00  1.91e+00  1.37e-01  1.69e-03  8.71e+01  2.40e+02  3.63e-01  2.39e-01  7.13e-03
        411  2.72e+00  5.10e+01  2.07e+00  2.00e+00  1.46e-01  2.11e-03  8.63e+01  2.40e+02  3.60e-01  2.40e-01  8.87e-03

=========================================================================================================================

