model name:                                       shear_panel
No. of elements:                                         3185
No. of Degrees of freedom:                               6548
analysis type:          elastic-plastic, geometric non-linear
elastic buckling factors:                   [1.80589 2.2481 ]

=========================================================================================================================

Sum of loads x-direction:       -1.06e-10
Sum of loads y-direction:       -4.69e-10
Sum of loads z-direction:        0.00e+00

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  3.03e+02  2.85e+02  8.62e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  2.00e-02  5.10e-02  0.00e+00  5.41e-01  3.25e+00  1.08e-06  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  4.37e-02  1.12e-01  0.00e+00  1.19e+00  7.10e+00  2.39e-06  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  7.17e-02  1.87e-01  0.00e+00  1.98e+00  1.16e+01  3.97e-06  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.05e-01  2.76e-01  0.00e+00  2.94e+00  1.70e+01  5.88e-06  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.44e-01  3.84e-01  0.00e+00  4.10e+00  2.33e+01  8.20e-06  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.89e-01  5.14e-01  0.00e+00  5.51e+00  3.07e+01  1.10e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  2.42e-01  6.72e-01  0.00e+00  7.22e+00  3.93e+01  1.44e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  3.03e-01  8.63e-01  0.00e+00  9.31e+00  4.92e+01  1.86e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  3.74e-01  1.09e+00  0.00e+00  1.19e+01  6.07e+01  2.37e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  4.54e-01  1.37e+00  0.00e+00  1.50e+01  7.37e+01  3.00e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  5.45e-01  1.71e+00  0.00e+00  1.88e+01  8.86e+01  3.77e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  6.47e-01  2.12e+00  0.00e+00  2.36e+01  1.05e+02  4.71e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  7.60e-01  2.62e+00  0.00e+00  2.94e+01  1.24e+02  5.88e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  8.84e-01  3.22e+00  0.00e+00  3.66e+01  1.45e+02  7.32e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.02e+00  3.95e+00  0.00e+00  4.56e+01  1.68e+02  9.12e-05  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.17e+00  4.82e+00  0.00e+00  5.68e+01  1.94e+02  1.14e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.32e+00  5.88e+00  0.00e+00  7.09e+01  2.23e+02  1.42e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.50e+00  7.15e+00  0.00e+00  8.87e+01  2.56e+02  1.77e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.68e+00  8.68e+00  0.00e+00  1.11e+02  2.95e+02  2.23e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  1.89e+00  1.05e+01  0.00e+00  1.41e+02  3.43e+02  2.81e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  2.12e+00  1.27e+01  0.00e+00  1.78e+02  4.02e+02  3.57e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  2.39e+00  1.53e+01  0.00e+00  2.28e+02  4.77e+02  4.55e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  2.70e+00  1.84e+01  0.00e+00  2.93e+02  5.76e+02  5.85e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  3.08e+00  2.22e+01  0.00e+00  3.78e+02  7.08e+02  7.57e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  3.53e+00  2.65e+01  0.00e+00  4.92e+02  8.84e+02  9.84e-04  4.12e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  4.07e+00  3.15e+01  0.00e+00  6.43e+02  1.12e+03  1.29e-03  4.11e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  4.74e+00  3.72e+01  0.00e+00  8.44e+02  1.44e+03  1.69e-03  4.11e-01  0.00e+00
          0  3.03e+02  2.85e+02  8.62e+00  5.00e+00  3.93e+01  0.00e+00  1.11e+03  1.87e+03  2.22e-03  4.11e-01  0.00e+00

=========================================================================================================================

