model name:                                strip_failure_fcVM
No. of elements:                                        32664
No. of Degrees of freedom:                              53889
analysis type: elastic-plastic, geometric linear

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:       -1.00e+02

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  4.45e+01  4.59e+00  4.20e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
      55880  4.99e+01  2.52e-01  2.03e-02  9.32e-02  1.19e+00  4.29e-04  3.54e+01  1.00e+02  3.54e-01  2.42e-01  1.77e-03
      55880  4.99e+01  2.52e-01  2.03e-02  1.02e-01  1.49e+00  1.08e-03  3.51e+01  1.00e+02  3.51e-01  2.43e-01  4.46e-03
      55880  4.99e+01  2.52e-01  2.03e-02  1.06e-01  1.75e+00  1.76e-03  3.52e+01  1.00e+02  3.52e-01  2.43e-01  7.26e-03
      55880  4.99e+01  2.52e-01  2.03e-02  1.07e-01  1.96e+00  2.36e-03  3.55e+01  1.00e+02  3.55e-01  2.42e-01  9.73e-03
      62232  5.00e+01  3.19e-01  2.03e-02  1.08e-01  2.14e+00  2.53e-03  4.53e+01  1.00e+02  4.53e-01  2.09e-01  1.19e-02
      62232  5.00e+01  3.19e-01  2.03e-02  1.09e-01  2.28e+00  2.93e-03  4.57e+01  1.00e+02  4.57e-01  2.08e-01  1.38e-02
      62232  5.00e+01  3.19e-01  2.03e-02  1.09e-01  2.43e+00  3.34e-03  4.59e+01  1.00e+02  4.59e-01  2.07e-01  1.58e-02
      62232  5.00e+01  3.19e-01  2.03e-02  1.10e-01  2.58e+00  3.76e-03  4.61e+01  1.00e+02  4.61e-01  2.06e-01  1.79e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.10e-01  2.73e+00  3.60e-03  5.94e+01  1.00e+02  5.94e-01  1.69e-01  2.00e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.10e-01  2.87e+00  3.97e-03  5.99e+01  1.00e+02  5.99e-01  1.68e-01  2.22e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.10e-01  3.02e+00  4.34e-03  6.04e+01  1.00e+02  6.04e-01  1.67e-01  2.44e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.17e+00  4.72e-03  6.08e+01  1.00e+02  6.08e-01  1.66e-01  2.67e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.32e+00  5.10e-03  6.12e+01  1.00e+02  6.12e-01  1.65e-01  2.90e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.46e+00  5.49e-03  6.16e+01  1.00e+02  6.16e-01  1.64e-01  3.14e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.61e+00  5.88e-03  6.20e+01  1.00e+02  6.20e-01  1.63e-01  3.38e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.76e+00  6.27e-03  6.24e+01  1.00e+02  6.24e-01  1.62e-01  3.62e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  3.94e+00  6.75e-03  6.28e+01  1.00e+02  6.28e-01  1.61e-01  3.92e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  4.11e+00  7.23e-03  6.32e+01  1.00e+02  6.32e-01  1.60e-01  4.22e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  4.29e+00  7.71e-03  6.36e+01  1.00e+02  6.36e-01  1.59e-01  4.52e-02
      62345  5.00e+01  3.09e+00  2.53e-02  1.11e-01  4.47e+00  8.20e-03  6.40e+01  1.00e+02  6.40e-01  1.58e-01  4.83e-02

=========================================================================================================================

