model name:                                           tensile
No. of elements:                                           24
No. of Degrees of freedom:                                 63
analysis type: elastic-plastic, geometric linear

=========================================================================================================================

Sum of loads x-direction:        0.00e+00
Sum of loads y-direction:        0.00e+00
Sum of loads z-direction:        1.00e+05

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  5.69e+00  5.69e+00  2.76e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  1.00e-01  1.00e-02  0.00e+00  3.33e+01  1.00e+02  6.67e-02  3.73e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  2.00e-01  2.00e-02  0.00e+00  6.67e+01  2.00e+02  1.33e-01  3.37e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  3.00e-01  3.00e-02  0.00e+00  1.00e+02  3.00e+02  2.00e-01  3.05e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  4.00e-01  4.00e-02  0.00e+00  1.33e+02  4.00e+02  2.67e-01  2.76e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  4.00e-01  4.00e-02  0.00e+00  1.33e+02  4.00e+02  2.67e-01  2.76e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  5.00e-01  5.00e-02  0.00e+00  1.67e+02  5.00e+02  3.33e-01  2.50e-01  0.00e+00
          0  5.69e+00  5.69e+00  2.76e+00  5.00e-01  5.00e-02  0.00e+00  1.67e+02  5.00e+02  3.33e-01  2.50e-01  0.00e+00
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  5.85e-02  8.16e-04  1.67e+02  5.00e+02  3.33e-01  2.50e-01  3.27e-03
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  6.73e-02  1.63e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  6.53e-03
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  7.83e-02  2.61e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  1.05e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  9.19e-02  3.79e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  1.52e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  1.08e-01  5.20e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  2.08e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  1.29e-01  6.89e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  2.76e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  1.53e-01  8.92e-03  1.67e+02  5.00e+02  3.33e-01  2.50e-01  3.57e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  1.82e-01  1.14e-02  1.67e+02  5.00e+02  3.33e-01  2.50e-01  4.54e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  2.18e-01  1.43e-02  1.67e+02  5.00e+02  3.33e-01  2.50e-01  5.72e-02
         20  9.31e+00  7.24e+00  9.31e+00  5.00e-01  2.60e-01  1.78e-02  1.67e+02  5.00e+02  3.33e-01  2.50e-01  7.12e-02

=========================================================================================================================

